application,repetition,multiplier,route,operation,query_repetition,nanoseconds
deathstarbench_social_network,0,1,direct,compose_post,5,4242
deathstarbench_social_network,0,1,direct,read_home_timeline,5,3101
deathstarbench_social_network,0,1,direct,read_user_timeline,5,3706
deathstarbench_social_network,0,1,direct,compose_post,6,4456
deathstarbench_social_network,0,1,direct,read_home_timeline,6,3018
deathstarbench_social_network,0,1,direct,read_user_timeline,6,3650
deathstarbench_social_network,0,1,direct,compose_post,7,4317
deathstarbench_social_network,0,1,direct,read_home_timeline,7,3362
deathstarbench_social_network,0,1,direct,read_user_timeline,7,4206
deathstarbench_social_network,0,1,direct,compose_post,8,4560
deathstarbench_social_network,0,1,direct,read_home_timeline,8,3293
deathstarbench_social_network,0,1,direct,read_user_timeline,8,4119
deathstarbench_social_network,0,1,direct,compose_post,9,4563
deathstarbench_social_network,0,1,direct,read_home_timeline,9,3176
deathstarbench_social_network,0,1,direct,read_user_timeline,9,3835
deathstarbench_social_network,0,1,direct,compose_post,10,4454
deathstarbench_social_network,0,1,direct,read_home_timeline,10,3121
deathstarbench_social_network,0,1,direct,read_user_timeline,10,3729
deathstarbench_social_network,0,1,direct,compose_post,11,4247
deathstarbench_social_network,0,1,direct,read_home_timeline,11,3047
deathstarbench_social_network,0,1,direct,read_user_timeline,11,3574
deathstarbench_social_network,0,1,direct,compose_post,12,4483
deathstarbench_social_network,0,1,direct,read_home_timeline,12,3181
deathstarbench_social_network,0,1,direct,read_user_timeline,12,3605
deathstarbench_social_network,0,1,direct,compose_post,13,4247
deathstarbench_social_network,0,1,direct,read_home_timeline,13,3009
deathstarbench_social_network,0,1,direct,read_user_timeline,13,3725
deathstarbench_social_network,0,1,direct,compose_post,14,4210
deathstarbench_social_network,0,1,direct,read_home_timeline,14,2981
deathstarbench_social_network,0,1,direct,read_user_timeline,14,22490
deathstarbench_social_network,0,1,direct,compose_post,15,5335
deathstarbench_social_network,0,1,direct,read_home_timeline,15,3058
deathstarbench_social_network,0,1,direct,read_user_timeline,15,3537
deathstarbench_social_network,0,1,direct,compose_post,16,4278
deathstarbench_social_network,0,1,direct,read_home_timeline,16,3169
deathstarbench_social_network,0,1,direct,read_user_timeline,16,3668
deathstarbench_social_network,0,1,direct,compose_post,17,4173
deathstarbench_social_network,0,1,direct,read_home_timeline,17,3155
deathstarbench_social_network,0,1,direct,read_user_timeline,17,3679
deathstarbench_social_network,0,1,direct,compose_post,18,4187
deathstarbench_social_network,0,1,direct,read_home_timeline,18,3027
deathstarbench_social_network,0,1,direct,read_user_timeline,18,3651
deathstarbench_social_network,0,1,direct,compose_post,19,4541
deathstarbench_social_network,0,1,direct,read_home_timeline,19,3051
deathstarbench_social_network,0,1,direct,read_user_timeline,19,3887
deathstarbench_social_network,0,1,direct,compose_post,20,4156
deathstarbench_social_network,0,1,direct,read_home_timeline,20,3035
deathstarbench_social_network,0,1,direct,read_user_timeline,20,3640
deathstarbench_social_network,0,1,direct,compose_post,21,4230
deathstarbench_social_network,0,1,direct,read_home_timeline,21,2879
deathstarbench_social_network,0,1,direct,read_user_timeline,21,3552
deathstarbench_social_network,0,1,direct,compose_post,22,4236
