application,repetition,multiplier,route,position,order,status,attempts,first_answer_seconds,first_cpu_seconds,first_peak_rss_mib,internal_pipeline_seconds,build_seconds,first_query_seconds,projection_seconds,read_seconds,save_seconds,whole_process_seconds,whole_process_resource,source_files_read,models
opentelemetry_demo,1,1,full,2,"[""projected"", ""direct"", ""full""]",qualified,3600,4.027817289,4.616584,446.3125,3.2004051619999814,2.4278245429999856,0.00020105700002659432,0,0.7714162799999826,0.0009398369999757961,4.275569522000012,"{""maximum_rss_bytes"": 467992576.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.25, ""user_seconds"": 4.59, ""wall_seconds"": 4.26}","[""requests.json"", ""native.json"", ""declarations.json"", ""probes.json"", ""manifest.json""]","{""add_to_cart"": {""categories"": 5, ""coordinates"": 11, ""samples"": 1200}, ""browse_product"": {""categories"": 5, ""coordinates"": 9, ""samples"": 1200}, ""checkout"": {""categories"": 12, ""coordinates"": 18, ""samples"": 1200}}"
opentelemetry_demo,2,4,projected,0,"[""projected"", ""direct"", ""full""]",qualified,14400,14.552411189,15.133685999999999,1474.74609375,13.720770569000024,10.56998846600004,0.00012577499995813923,0.00105614799997511,3.149087031000022,0.00047661299998935647,15.254607570999951,"{""maximum_rss_bytes"": 1546383360.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.73, ""user_seconds"": 15.09, ""wall_seconds"": 15.24}","[""requests.json"", ""native.json"", ""declarations.json"", ""probes.json"", ""manifest.json""]","{""add_to_cart"": {""categories"": 2, ""coordinates"": 2, ""samples"": 4800}, ""browse_product"": {""categories"": 2, ""coordinates"": 2, ""samples"": 4800}, ""checkout"": {""categories"": 3, ""coordinates"": 2, ""samples"": 4800}}"
opentelemetry_demo,2,4,direct,1,"[""projected"", ""direct"", ""full""]",qualified,14400,14.160639823,14.747471,1475.1328125,13.331255279000004,10.128261898999938,0.00013611199995011702,0,3.202370589999987,0.0004575960000465784,14.85293901099999,"{""maximum_rss_bytes"": 1546788864.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.72, ""user_seconds"": 14.7, ""wall_seconds"": 14.84}","[""requests.json"", ""native.json"", ""declarations.json""]","{""add_to_cart"": {""categories"": 2, ""coordinates"": 2, ""samples"": 4800}, ""browse_product"": {""categories"": 2, ""coordinates"": 2, ""samples"": 4800}, ""checkout"": {""categories"": 3, ""coordinates"": 2, ""samples"": 4800}}"
opentelemetry_demo,2,4,full,2,"[""projected"", ""direct"", ""full""]",qualified,14400,14.459151787,15.049886,1474.9375,13.634671529000002,10.507863261000125,0.00025903199997401316,0,3.1256097090000026,0.0009053869999888775,15.201110839000023,"{""maximum_rss_bytes"": 1546584064.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.75, ""user_seconds"": 14.99, ""wall_seconds"": 15.16}","[""requests.json"", ""native.json"", ""declarations.json"", ""probes.json"", ""manifest.json""]","{""add_to_cart"": {""categories"": 5, ""coordinates"": 11, ""samples"": 4800}, ""browse_product"": {""categories"": 5, ""coordinates"": 9, ""samples"": 4800}, ""checkout"": {""categories"": 12, ""coordinates"": 18, ""samples"": 4800}}"
opentelemetry_demo,2,1,direct,0,"[""direct"", ""full"", ""projected""]",qualified,3600,3.859380459,4.445343,446.40625,3.033904148999966,2.25313767199998,0.0001093719999971654,0,0.7801766669999779,0.0004546010000012757,4.124148133000006,"{""maximum_rss_bytes"": 468090880.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.24, ""user_seconds"": 4.42, ""wall_seconds"": 4.08}","[""requests.json"", ""native.json"", ""declarations.json""]","{""add_to_cart"": {""categories"": 2, ""coordinates"": 2, ""samples"": 1200}, ""browse_product"": {""categories"": 2, ""coordinates"": 2, ""samples"": 1200}, ""checkout"": {""categories"": 3, ""coordinates"": 2, ""samples"": 1200}}"
opentelemetry_demo,2,1,full,1,"[""direct"", ""full"", ""projected""]",qualified,3600,4.021613976,4.571823,446.73828125,3.1897264460000088,2.3914400980000323,0.00019727199997987555,0,0.7972573989999887,0.0008091639999747713,4.274345205999964,"{""maximum_rss_bytes"": 468439040.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.25, ""user_seconds"": 4.54, ""wall_seconds"": 4.25}","[""requests.json"", ""native.json"", ""declarations.json"", ""probes.json"", ""manifest.json""]","{""add_to_cart"": {""categories"": 5, ""coordinates"": 11, ""samples"": 1200}, ""browse_product"": {""categories"": 5, ""coordinates"": 9, ""samples"": 1200}, ""checkout"": {""categories"": 12, ""coordinates"": 18, ""samples"": 1200}}"
opentelemetry_demo,2,1,projected,2,"[""direct"", ""full"", ""projected""]",qualified,3600,3.966968725,4.553428,446.6875,3.145596834999992,2.3813130909999813,0.00010619699992275855,0.00017551100000900988,0.7635246429999825,0.00045602300002656193,4.224810762999994,"{""maximum_rss_bytes"": 468385792.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.26, ""user_seconds"": 4.51, ""wall_seconds"": 4.19}","[""requests.json"", ""native.json"", ""declarations.json"", ""probes.json"", ""manifest.json""]","{""add_to_cart"": {""categories"": 2, ""coordinates"": 2, ""samples"": 1200}, ""browse_product"": {""categories"": 2, ""coordinates"": 2, ""samples"": 1200}, ""checkout"": {""categories"": 3, ""coordinates"": 2, ""samples"": 1200}}"
opentelemetry_demo,2,2,full,0,"[""full"", ""projected"", ""direct""]",qualified,7200,7.233256065,7.814501,789.26171875,6.407080052999959,4.824998799999946,0.0002089270000169563,0,1.5809536979999734,0.0008944609999730346,7.633532695999975,"{""maximum_rss_bytes"": 827600896.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.41, ""user_seconds"": 7.79, ""wall_seconds"": 7.62}","[""requests.json"", ""native.json"", ""declarations.json"", ""probes.json"", ""manifest.json""]","{""add_to_cart"": {""categories"": 5, ""coordinates"": 11, ""samples"": 2400}, ""browse_product"": {""categories"": 5, ""coordinates"": 9, ""samples"": 2400}, ""checkout"": {""categories"": 12, ""coordinates"": 18, ""samples"": 2400}}"
opentelemetry_demo,2,2,projected,1,"[""full"", ""projected"", ""direct""]",qualified,7200,7.256753494,7.8403849999999995,789.33984375,6.424127510999995,4.832398828000066,0.00011681300003374417,0.000797398000031535,1.5903581110000005,0.0004320969999866975,7.684014876000049,"{""maximum_rss_bytes"": 827682816.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.41, ""user_seconds"": 7.81, ""wall_seconds"": 7.64}","[""requests.json"", ""native.json"", ""declarations.json"", ""probes.json"", ""manifest.json""]","{""add_to_cart"": {""categories"": 2, ""coordinates"": 2, ""samples"": 2400}, ""browse_product"": {""categories"": 2, ""coordinates"": 2, ""samples"": 2400}, ""checkout"": {""categories"": 3, ""coordinates"": 2, ""samples"": 2400}}"
opentelemetry_demo,2,2,direct,2,"[""full"", ""projected"", ""direct""]",qualified,7200,6.999456328,7.584658,789.1875,6.174481368000045,4.595840158000044,0.00011323699993681657,0,1.578062176000003,0.00043999900003655057,7.381973377999998,"{""maximum_rss_bytes"": 827523072.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.38, ""user_seconds"": 7.57, ""wall_seconds"": 7.37}","[""requests.json"", ""native.json"", ""declarations.json""]","{""add_to_cart"": {""categories"": 2, ""coordinates"": 2, ""samples"": 2400}, ""browse_product"": {""categories"": 2, ""coordinates"": 2, ""samples"": 2400}, ""checkout"": {""categories"": 3, ""coordinates"": 2, ""samples"": 2400}}"
spring_petclinic_microservices,0,1,full,0,"[""full"", ""projected"", ""direct""]",qualified,3600,1.997299802,2.614893,238.4375,1.1384790160000051,0.8512921689999899,0.00015202199999464483,0,0.2862369369999982,0.0007753840000077616,2.12011339499999,"{""maximum_rss_bytes"": 250019840.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.16, ""user_seconds"": 2.57, ""wall_seconds"": 2.11}","[""requests.json"", ""native.json"", ""declarations.json"", ""probes.json"", ""manifest.json""]","{""create_visit"": {""categories"": 6, ""coordinates"": 8, ""samples"": 900}, ""list_owners"": {""categories"": 1, ""coordinates"": 4, ""samples"": 900}, ""list_vets"": {""categories"": 1, ""coordinates"": 3, ""samples"": 900}, ""owner_details_with_visits"": {""categories"": 5, ""coordinates"": 10, ""samples"": 900}}"
spring_petclinic_microservices,0,1,projected,1,"[""full"", ""projected"", ""direct""]",qualified,3600,2.005386163,2.6264659999999997,238.41015625,1.1561525750000072,0.8704984839999952,0.0001160850000019309,0.00013958900001398433,0.28492898200001093,0.00044611100000224724,2.169681779000001,"{""maximum_rss_bytes"": 249991168.0, ""path"": ""process-resource-usage.txt"", ""system_seconds"": 0.12, ""user_seconds"": 2.61, ""wall_seconds"": 2.12}","[""requests.json"", ""native.json"", ""declarations.json"", ""probes.json"", ""manifest.json""]","{""create_visit"": {""categories"": 3, ""coordinates"": 2, ""samples"": 900}, ""list_owners"": {""categories"": 1, ""coordinates"": 2, ""samples"": 900}, ""list_vets"": {""categories"": 1, ""coordinates"": 2, ""samples"": 900}, ""owner_details_with_visits"": {""categories"": 3, ""coordinates"": 2, ""samples"": 900}}"
