application,law,repetition,period,operation,full_support,direct_support,full_reason,direct_reason,full_original_reproduced,same_R_routes_qualified,E_lower_count,E_lower_exact,E_point_attempts,E_point_fraction,E_upper_count,E_upper_exact,E_width,R_lower_count,R_lower_exact,R_minus_E_lower_count,R_minus_E_lower_exact,R_minus_E_point_attempts,R_minus_E_point_fraction,R_minus_E_upper_count,R_minus_E_upper_exact,R_minus_E_width,R_point_attempts,R_point_fraction,R_upper_count,R_upper_exact,R_width,attempts,equivalent_for_all_states,same_marginal_bounds_but_possible_difference,E_failure_excluded,E_success_excluded,R_failure_excluded,R_success_excluded,R_and_K_difference_not_determined,event_difference_undecided
opentelemetry_demo,N,1,test,browse_product,True,True,,,True,True,1083,361/400,1200,1.0,1083,361/400,0.0,1083,361/400,0,0,1200,1.0,0,0,0.0,1200,1.0,1083,361/400,0.0,1200,1200,0,0,0,0,0,,
opentelemetry_demo,N,1,test,checkout,True,True,,,True,True,930,31/40,1200,1.0,930,31/40,0.0,930,31/40,0,0,1200,1.0,0,0,0.0,1200,1.0,930,31/40,0.0,1200,1200,0,0,0,0,0,,
opentelemetry_demo,N,2,calibration,add_to_cart,True,True,,,True,True,1089,363/400,1200,1.0,1089,363/400,0.0,1089,363/400,0,0,1200,1.0,0,0,0.0,1200,1.0,1089,363/400,0.0,1200,1200,0,,,,,,
opentelemetry_demo,N,2,calibration,browse_product,True,True,,,True,True,1091,1091/1200,1200,1.0,1091,1091/1200,0.0,1091,1091/1200,0,0,1200,1.0,0,0,0.0,1200,1.0,1091,1091/1200,0.0,1200,1200,0,,,,,,
opentelemetry_demo,N,2,calibration,checkout,True,True,,,True,True,969,323/400,1200,1.0,969,323/400,0.0,969,323/400,0,0,1200,1.0,0,0,0.0,1200,1.0,969,323/400,0.0,1200,1200,0,,,,,,
opentelemetry_demo,N,2,test,add_to_cart,True,True,,,True,True,1081,1081/1200,1200,1.0,1081,1081/1200,0.0,1081,1081/1200,0,0,1200,1.0,0,0,0.0,1200,1.0,1081,1081/1200,0.0,1200,1200,0,0,0,0,0,,
opentelemetry_demo,N,2,test,browse_product,True,True,,,True,True,1067,1067/1200,1200,1.0,1067,1067/1200,0.0,1067,1067/1200,0,0,1200,1.0,0,0,0.0,1200,1.0,1067,1067/1200,0.0,1200,1200,0,0,0,0,0,,
opentelemetry_demo,N,2,test,checkout,True,True,,,True,True,911,911/1200,1200,1.0,911,911/1200,0.0,911,911/1200,0,0,1200,1.0,0,0,0.0,1200,1.0,911,911/1200,0.0,1200,1200,0,0,0,0,0,,
opentelemetry_demo,NC,0,calibration,add_to_cart,True,True,,,True,True,1050,7/8,1200,1.0,1050,7/8,0.0,1050,7/8,0,0,1200,1.0,0,0,0.0,1200,1.0,1050,7/8,0.0,1200,1200,0,,,,,,
opentelemetry_demo,NC,0,calibration,browse_product,True,True,,,True,True,1061,1061/1200,1200,1.0,1061,1061/1200,0.0,1061,1061/1200,0,0,1200,1.0,0,0,0.0,1200,1.0,1061,1061/1200,0.0,1200,1200,0,,,,,,
opentelemetry_demo,NC,0,calibration,checkout,True,True,,,True,True,890,89/120,1200,1.0,890,89/120,0.0,890,89/120,0,0,1200,1.0,0,0,0.0,1200,1.0,890,89/120,0.0,1200,1200,0,,,,,,
opentelemetry_demo,NC,0,test,add_to_cart,True,True,,,True,True,692,173/300,829,0.6908333333333333,1063,1063/1200,0.30916666666666665,692,173/300,0,0,829,0.6908333333333333,371,371/1200,0.30916666666666665,829,0.6908333333333333,1063,1063/1200,0.30916666666666665,1200,829,371,0,0,0,0,371,371
opentelemetry_demo,NC,0,test,browse_product,True,True,,,True,True,710,71/120,877,0.7308333333333333,1033,1033/1200,0.26916666666666667,710,71/120,0,0,877,0.7308333333333333,323,323/1200,0.26916666666666667,877,0.7308333333333333,1033,1033/1200,0.26916666666666667,1200,877,323,0,0,0,0,323,323
opentelemetry_demo,NC,0,test,checkout,True,True,,,True,True,624,13/25,899,0.7491666666666666,925,37/48,0.25083333333333335,624,13/25,0,0,899,0.7491666666666666,301,301/1200,0.25083333333333335,899,0.7491666666666666,925,37/48,0.25083333333333335,1200,899,301,0,0,0,0,301,301
opentelemetry_demo,NC,1,calibration,add_to_cart,True,True,,,True,True,686,343/600,865,0.7208333333333333,1021,1021/1200,0.2791666666666667,686,343/600,0,0,865,0.7208333333333333,335,67/240,0.2791666666666667,865,0.7208333333333333,1021,1021/1200,0.2791666666666667,1200,865,335,,,,,335,335
opentelemetry_demo,NC,1,calibration,browse_product,True,True,,,True,True,651,217/400,850,0.7083333333333334,1001,1001/1200,0.2916666666666667,651,217/400,0,0,850,0.7083333333333334,350,7/24,0.2916666666666667,850,0.7083333333333334,1001,1001/1200,0.2916666666666667,1200,850,350,,,,,350,350
