artifact_id,artifact_name,scope,measurement_present,wall_seconds,user_seconds,system_seconds,maximum_rss_bytes
10165397552,v3-comparison-pmx-extraction-deathstarbench_social_network--split--NCD--r3-34465226083,timed extraction command/children; not total deployment resources,True,82.7,56.04,2.05,1272995840.0
10165408047,v3-comparison-pmx-extraction-deathstarbench_social_network--split--NCD--r4-34465226083,timed extraction command/children; not total deployment resources,True,87.59,69.43,2.76,2064707584.0
10165409417,v3-comparison-pmx-extraction-deathstarbench_social_network--split--NCD--r5-34465226083,timed extraction command/children; not total deployment resources,True,87.25,66.43,2.81,1926365184.0
10165412075,v3-comparison-pmx-extraction-deathstarbench_social_network--split--NCD--r6-34465226083,timed extraction command/children; not total deployment resources,True,86.27,66.21,2.7,2031480832.0
10165415111,v3-comparison-pmx-extraction-deathstarbench_social_network--split--NCD--r7-34465226083,timed extraction command/children; not total deployment resources,True,87.0,66.52,2.76,1768050688.0
10165403621,v3-comparison-pmx-extraction-deathstarbench_social_network--split--NCD--r8-34465226083,timed extraction command/children; not total deployment resources,True,86.27,66.65,2.72,2106621952.0
10165415785,v3-comparison-pmx-extraction-deathstarbench_social_network--split--NCD--r9-34465226083,timed extraction command/children; not total deployment resources,True,84.66,60.13,2.25,1237602304.0
10165384487,v3-comparison-pmx-extraction-deathstarbench_social_network--split--ND--r0-34465226083,timed extraction command/children; not total deployment resources,True,88.37,68.52,2.72,1839128576.0
10165389209,v3-comparison-pmx-extraction-deathstarbench_social_network--split--ND--r1-34465226083,timed extraction command/children; not total deployment resources,True,87.6,66.59,2.73,2352807936.0
10165393709,v3-comparison-pmx-extraction-deathstarbench_social_network--split--ND--r2-34465226083,timed extraction command/children; not total deployment resources,True,88.51,72.37,2.54,1340809216.0
10165393896,v3-comparison-pmx-extraction-deathstarbench_social_network--split--ND--r3-34465226083,timed extraction command/children; not total deployment resources,True,86.88,64.8,3.2,2093850624.0
10165395063,v3-comparison-pmx-extraction-deathstarbench_social_network--split--ND--r4-34465226083,timed extraction command/children; not total deployment resources,True,86.46000000000001,66.8,2.82,2012504064.0
10165403477,v3-comparison-pmx-extraction-deathstarbench_social_network--split--ND--r5-34465226083,timed extraction command/children; not total deployment resources,True,87.8,65.35,2.74,2027352064.0
10165398027,v3-comparison-pmx-extraction-deathstarbench_social_network--split--ND--r6-34465226083,timed extraction command/children; not total deployment resources,True,87.2,69.56,2.83,1931214848.0
10165399661,v3-comparison-pmx-extraction-deathstarbench_social_network--split--ND--r7-34465226083,timed extraction command/children; not total deployment resources,True,87.03999999999999,64.22,3.19,2314391552.0
10165412161,v3-comparison-pmx-extraction-deathstarbench_social_network--split--ND--r8-34465226083,timed extraction command/children; not total deployment resources,True,87.99,66.28,2.92,2394869760.0
10165407582,v3-comparison-pmx-extraction-deathstarbench_social_network--split--ND--r9-34465226083,timed extraction command/children; not total deployment resources,True,87.51,64.43,3.25,2481954816.0
10165489469,v3-comparison-pmx-extraction-opentelemetry_demo--colocated--N--r0-34465226083,timed extraction command/children; not total deployment resources,True,112.1,103.42,4.55,3643899904.0
10165497053,v3-comparison-pmx-extraction-opentelemetry_demo--colocated--N--r1-34465226083,timed extraction command/children; not total deployment resources,True,117.0,116.14,3.13,1815261184.0
10165616967,v3-comparison-pmx-extraction-opentelemetry_demo--colocated--N--r2-34465226083,timed extraction command/children; not total deployment resources,True,104.35,86.78,3.68,3173838848.0
10165619733,v3-comparison-pmx-extraction-opentelemetry_demo--colocated--N--r3-34465226083,timed extraction command/children; not total deployment resources,True,114.82,111.75,3.98,3045466112.0
10165581069,v3-comparison-pmx-extraction-opentelemetry_demo--colocated--N--r4-34465226083,timed extraction command/children; not total deployment resources,True,113.99000000000001,111.68,4.01,3134078976.0
10165591089,v3-comparison-pmx-extraction-opentelemetry_demo--colocated--N--r5-34465226083,timed extraction command/children; not total deployment resources,True,115.91,114.31,3.84,3211874304.0
10165640945,v3-comparison-pmx-extraction-opentelemetry_demo--colocated--N--r6-34465226083,timed extraction command/children; not total deployment resources,True,105.86,86.46,3.57,3259416576.0
10165601370,v3-comparison-pmx-extraction-opentelemetry_demo--colocated--N--r7-34465226083,timed extraction command/children; not total deployment resources,True,118.92,123.38,4.42,2751918080.0
10165595425,v3-comparison-pmx-extraction-opentelemetry_demo--colocated--N--r8-34465226083,timed extraction command/children; not total deployment resources,True,113.43,108.87,3.74,2823192576.0
10165586592,v3-comparison-pmx-extraction-opentelemetry_demo--colocated--N--r9-34465226083,timed extraction command/children; not total deployment resources,True,105.14,87.03,3.74,3324399616.0
10165588224,v3-comparison-pmx-extraction-opentelemetry_demo--colocated--NC--r0-34465226083,timed extraction command/children; not total deployment resources,True,101.47,89.25,3.56,2508640256.0
10165610098,v3-comparison-pmx-extraction-opentelemetry_demo--colocated--NC--r1-34465226083,timed extraction command/children; not total deployment resources,True,121.89,122.5,3.21,2224279552.0
10165603307,v3-comparison-pmx-extraction-opentelemetry_demo--colocated--NC--r2-34465226083,timed extraction command/children; not total deployment resources,True,108.35,101.61,3.87,3077595136.0
10165644321,v3-comparison-pmx-extraction-opentelemetry_demo--colocated--NC--r3-34465226083,timed extraction command/children; not total deployment resources,True,107.53,102.49,2.82,1792266240.0
10165593637,v3-comparison-pmx-extraction-opentelemetry_demo--colocated--NC--r4-34465226083,timed extraction command/children; not total deployment resources,True,99.22,79.29,3.42,3344105472.0
10165598031,v3-comparison-pmx-extraction-opentelemetry_demo--colocated--NC--r5-34465226083,timed extraction command/children; not total deployment resources,True,108.5,102.22,3.81,3063205888.0
10165615102,v3-comparison-pmx-extraction-opentelemetry_demo--colocated--NC--r6-34465226083,timed extraction command/children; not total deployment resources,True,114.9,109.73,3.96,2847215616.0
10165608298,v3-comparison-pmx-extraction-opentelemetry_demo--colocated--NC--r7-34465226083,timed extraction command/children; not total deployment resources,True,106.92,98.76,3.43,2766970880.0
10165601481,v3-comparison-pmx-extraction-opentelemetry_demo--colocated--NC--r8-34465226083,timed extraction command/children; not total deployment resources,True,101.57,85.86,3.75,4070903808.0
10165643961,v3-comparison-pmx-extraction-opentelemetry_demo--colocated--NC--r9-34465226083,timed extraction command/children; not total deployment resources,True,93.36,70.54,3.08,2714353664.0
10165699610,v3-comparison-pmx-extraction-opentelemetry_demo--colocated--NCD--r0-34465226083,timed extraction command/children; not total deployment resources,True,105.9,97.17,3.61,2816061440.0
