level,profile,scope,mode,view,comparator,operation,expected_operation_cells,common_operation_cells,expected_campaigns,paired_campaigns,proposed_issued_cells,comparator_issued_cells,absolute_error_pp_difference,absolute_error_pp_difference_lower95,absolute_error_pp_difference_upper95,brier_score_difference,brier_score_difference_lower95,brier_score_difference_upper95,signed_error_pp_difference,signed_error_pp_difference_lower95,signed_error_pp_difference_upper95,represented_strata,minimum_pairs_per_stratum
operation,deathstarbench_social_network,current,sampled_mixed,all_sequence,B1,read_user_timeline,80,65,80,65,65,65,-0.12449860373653861,-0.32717005728892956,0.07279972521061519,-0.0002559081974431685,-0.0006447357704932954,0.00011098776422350707,-0.12449860373653861,-0.32680990714172664,0.06954826236359841,8,3
operation,deathstarbench_social_network,current,sampled_mixed,all_sequence,B2,compose_post,80,65,80,65,65,65,0.3279596650665343,-0.10976405789246121,0.7418945731247343,0.00025674821982293227,-0.00010381793609589619,0.000588452226601959,1.3313155043574492,0.9543714358646191,1.6661957779977004,8,3
operation,deathstarbench_social_network,current,sampled_mixed,all_sequence,B2,read_home_timeline,80,80,80,80,80,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,10
operation,deathstarbench_social_network,current,sampled_mixed,all_sequence,B2,read_user_timeline,80,65,80,65,65,65,1.1145514583925766,0.7534299717939352,1.4429657208893691,0.0011231200768816014,0.0006801640319269258,0.0015222474076017844,1.3313155043574492,0.947893255489996,1.682210183955889,8,3
operation,deathstarbench_social_network,current,sampled_mixed,all_sequence,B3,compose_post,80,65,80,65,65,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3
operation,deathstarbench_social_network,current,sampled_mixed,all_sequence,B3,read_home_timeline,80,80,80,80,80,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,10
operation,deathstarbench_social_network,current,sampled_mixed,all_sequence,B3,read_user_timeline,80,65,80,65,65,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3
operation,deathstarbench_social_network,current,sampled_mixed,all_sequence,B4,compose_post,80,65,80,65,65,65,-0.689754772420861,-1.7278580119328897,0.27904340285844753,-0.0012855232028738028,-0.0025684764350033763,-0.0001531844845718938,3.5880536042081284,2.3410152345499005,4.857307750193334,8,3
operation,deathstarbench_social_network,current,sampled_mixed,all_sequence,B4,read_home_timeline,80,80,80,80,80,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,10
operation,deathstarbench_social_network,current,sampled_mixed,all_sequence,B4,read_user_timeline,80,65,80,65,65,65,1.6474763121853666,0.6242871026913268,2.641417317930543,0.0010756627985595995,-0.00032882870597796167,0.0023764453696187835,3.5880536042081284,2.3268379322219883,4.851346496637903,8,3
operation,deathstarbench_social_network,current,sampled_mixed,stable,B0,compose_post,80,65,80,65,65,80,-1.5787344955176696,-2.236450316073205,-0.9267264470518489,-0.001280268633356379,-0.0017746987189124362,-0.0007952719103896096,3.1946026144529522,2.922919828618426,3.4721681705756198,8,3
operation,deathstarbench_social_network,current,sampled_mixed,stable,B0,read_home_timeline,80,80,80,80,80,80,0.5756519772617485,0.5756519772617485,0.5756519772617485,3.793062544842086e-05,3.7930625448420856e-05,3.7930625448420856e-05,-0.5756519772617485,-0.5756519772617485,-0.5756519772617485,8,10
operation,deathstarbench_social_network,current,sampled_mixed,stable,B0,read_user_timeline,80,65,80,65,65,80,0.19054966971653345,-0.6377693190136838,1.0290253636615785,-3.678323697085714e-05,-0.0006673265259175054,0.00060278141317689,6.423001072087463,6.196232848832733,6.646100558956674,8,3
operation,deathstarbench_social_network,current,sampled_mixed,stable,B1,compose_post,80,65,80,65,65,65,-0.4773730066278967,-0.7332956830496102,-0.22933848978419233,-0.00038281732060236907,-0.0006277587669448776,-0.00017452423006816153,-0.12449860373653863,-0.328448300166124,0.07494831755723373,8,3
operation,deathstarbench_social_network,current,sampled_mixed,stable,B1,read_home_timeline,80,80,80,80,80,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,10
operation,deathstarbench_social_network,current,sampled_mixed,stable,B1,read_user_timeline,80,65,80,65,65,65,-0.28794714592502524,-0.5281181631419966,-0.05543894270013116,-0.00027306924790680904,-0.0005449013755596971,-2.3635154768416893e-05,-0.12449860373653863,-0.32751510874467193,0.07056774621101043,8,3
operation,deathstarbench_social_network,current,sampled_mixed,stable,B2,compose_post,80,65,80,65,65,65,-0.7455724586339896,-1.1792876899138147,-0.31691688711449645,-0.0006507886930588499,-0.0010021938937993997,-0.00030589070104117895,1.3313155043574492,0.9515811110141943,1.6820131697020761,8,3
operation,deathstarbench_social_network,current,sampled_mixed,stable,B2,read_home_timeline,80,80,80,80,80,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,10
operation,deathstarbench_social_network,current,sampled_mixed,stable,B2,read_user_timeline,80,65,80,65,65,65,0.30762101711452783,-0.047541875965511134,0.6611340742943023,0.00022009222094110468,-7.12252639314477e-05,0.00048582592342720715,1.3313155043574492,0.9468764677295902,1.678566250115074,8,3
operation,deathstarbench_social_network,current,sampled_mixed,stable,B3,compose_post,80,65,80,65,65,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3
operation,deathstarbench_social_network,current,sampled_mixed,stable,B3,read_home_timeline,80,80,80,80,80,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,10
operation,deathstarbench_social_network,current,sampled_mixed,stable,B3,read_user_timeline,80,65,80,65,65,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3
operation,deathstarbench_social_network,current,sampled_mixed,stable,B4,compose_post,80,65,80,65,65,65,-3.417914430512252,-4.365849044460961,-2.5275443661831547,-0.0037682158155987544,-0.00532906887565047,-0.002356614385226519,3.5880536042081284,2.341700194923782,4.895327785181504,8,3
operation,deathstarbench_social_network,current,sampled_mixed,stable,B4,read_home_timeline,80,80,80,80,80,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,10
operation,deathstarbench_social_network,current,sampled_mixed,stable,B4,read_user_timeline,80,65,80,65,65,65,-0.8488444591319129,-1.7425801787016797,0.014088951923110656,-0.001402751640297101,-0.002431597755929096,-0.00046082989432577327,3.5880536042081284,2.324959496809612,4.863562115723688,8,3
operation,deathstarbench_social_network,current,trace_only,all_sequence,B0,compose_post,80,65,80,65,65,80,1.5975632620949038,1.0386874572930989,2.133472814510196,0.0013112464014549555,0.0008771878027754116,0.0017494700677003529,3.282588491138297,3.097057651221265,3.4740600626747606,8,3
operation,deathstarbench_social_network,current,trace_only,all_sequence,B0,read_home_timeline,80,80,80,80,80,80,0.5756519772617485,0.5756519772617485,0.5756519772617485,3.793062544842086e-05,3.7930625448420856e-05,3.7930625448420856e-05,-0.5756519772617485,-0.5756519772617485,-0.5756519772617485,8,10
operation,deathstarbench_social_network,current,trace_only,all_sequence,B0,read_user_timeline,80,65,80,65,65,80,4.877558084929186,4.260947026240547,5.489191289314392,0.004743034550011486,0.0038984644650584374,0.005605323748218177,6.510986948772809,6.274277948988665,6.746742540760149,8,3
operation,deathstarbench_social_network,current,trace_only,all_sequence,B1,compose_post,80,0,80,0,65,0,,,,,,,,,,0,0
operation,deathstarbench_social_network,current,trace_only,all_sequence,B1,read_home_timeline,80,80,80,80,80,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,10
operation,deathstarbench_social_network,current,trace_only,all_sequence,B1,read_user_timeline,80,0,80,0,65,0,,,,,,,,,,0,0
