profile,scope,mode,view,method,operation,expected_campaigns,issued_campaigns,coverage,all_test_requests,issued_test_requests,observed_all,observed_issued,prediction,signed_error_pp,signed_error_pp_lower95,signed_error_pp_upper95,absolute_error_pp,absolute_error_pp_lower95,absolute_error_pp_upper95,brier_score,brier_score_lower95,brier_score_upper95,represented_strata,minimum_issued_campaigns_per_stratum,absolute_error_median_pp,absolute_error_p90_pp,absence_reasons
opentelemetry_demo,current,full,stable,proposed,browse_product,80,54,0.675,72647,50412,0.8507387080949838,0.865946268188555,0.9286597506312548,6.271348244269979,4.446339784460638,8.756312531115997,6.530732513172557,4.9518384742259,8.852393029505519,0.11744068589858467,0.10512474506733226,0.13528498545309675,8,2,5.0725327771178215,8.798736982508753,"{""topology_ambiguous_target_fraction"": 26}"
opentelemetry_demo,current,full,stable,proposed,checkout,80,55,0.6875,72649,51407,0.7254292668380229,0.7313572015487428,0.92894523544218,19.75880338934371,17.41787336651308,22.160343388423087,19.75880338934371,17.522928861425072,22.178968819298902,0.2322871006327134,0.21484324225501622,0.25023336482795444,8,2,16.672285825033185,25.539406641814246,"{""topology_ambiguous_target_fraction"": 25}"
opentelemetry_demo,current,no_joint_health,all_sequence,B0,add_to_cart,80,80,1.0,96000,96000,0.8282604166666666,0.8282604166666666,0.8425999167360533,1.4339500069386617,0.32032219244379595,2.7353896275673035,3.14643612961421,2.147101005238689,4.314458740979736,0.13514032690400704,0.12766842282163848,0.14371522575105097,8,10,1.8211559811268374,5.074764085484322,{}
opentelemetry_demo,current,no_joint_health,all_sequence,B0,browse_product,80,80,1.0,96000,96000,0.8246979166666667,0.8246979166666667,0.8403413821815154,1.5643465514848733,0.4471220814251992,2.8087821563627515,2.957865840965862,1.9363758933527615,4.201110641305856,0.13619860041521048,0.1288136800326042,0.14510687707546016,8,10,1.3334721065778543,4.892360532889252,{}
opentelemetry_demo,current,no_joint_health,all_sequence,B0,checkout,80,80,1.0,96000,96000,0.6800625,0.6800625,0.6999687760199833,1.9906276019983358,0.6574087565917294,3.4142449217665845,4.799710310852067,3.8192808510269214,5.935005919546211,0.20574439596143282,0.20102653554696587,0.21078027828939094,8,10,3.4162156536219843,9.883853733000304,{}
opentelemetry_demo,current,no_joint_health,all_sequence,B1,add_to_cart,80,51,0.6375,96000,61200,0.8282604166666666,0.851125,0.93285531955932,8.173031955932007,7.472275051939157,8.864624141374856,8.173031955932007,7.485811850357384,8.859692750474204,0.13258345127003698,0.12657514248996116,0.1386629571408817,8,2,8.165058049860917,10.978403449561448,"{""topology_ambiguous_target_fraction"": 29}"
opentelemetry_demo,current,no_joint_health,all_sequence,B1,browse_product,80,54,0.675,96000,64800,0.8246979166666667,0.837201388888889,0.9334261892702926,9.622480038140374,7.98587780362994,12.112352682321399,9.622480038140374,7.97695038557184,12.127909948556571,0.14367100472740346,0.1311511643577649,0.16283190958605095,8,2,8.279059128835147,11.575734127364054,"{""topology_ambiguous_target_fraction"": 26}"
opentelemetry_demo,current,no_joint_health,all_sequence,B1,checkout,80,56,0.7,96000,67200,0.6800625,0.6877777777777778,0.9332873206923945,24.550954291461675,22.541257424070903,26.69921795971378,24.550954291461675,22.538302217453865,26.650572357065904,0.27250709566187054,0.25673955766223433,0.28972804817130776,8,2,21.416465716539626,28.463839682434767,"{""topology_ambiguous_target_fraction"": 24}"
opentelemetry_demo,current,no_joint_health,all_sequence,B2,add_to_cart,80,51,0.6375,96000,61200,0.8282604166666666,0.851125,0.9003856297851776,4.926062978517763,4.160115099741783,5.702079884620801,7.209396264065881,6.438374740216546,7.971702610079305,0.13134577505553174,0.12644148354850887,0.13625615271793307,8,2,6.748367892870622,9.291811465170563,"{""topology_ambiguous_target_fraction"": 29}"
opentelemetry_demo,current,no_joint_health,all_sequence,B2,browse_product,80,54,0.675,96000,64800,0.8246979166666667,0.837201388888889,0.8895257495085886,5.232436061969983,4.603181239563678,5.828579767241693,6.894588836359445,6.30904569669138,7.496937358127092,0.13496729299029492,0.1295918737572051,0.1411427537250902,8,2,6.708921927681505,10.138013029786496,"{""topology_ambiguous_target_fraction"": 26}"
