campaign_id,profile,placement,failure_law,repetition,source_run_id,operation,all_sequence_requests,all_sequence_successes,all_sequence_availability,stable_requests,stable_successes,stable_availability
deathstarbench_social_network--split--N--r3,deathstarbench_social_network,split,N,3,33990678586,compose_post,1200,1136,0.9466666666666667,964,938,0.9730290456431535
deathstarbench_social_network--split--N--r3,deathstarbench_social_network,split,N,3,33990678586,read_home_timeline,1200,1200,1.0,965,965,1.0
deathstarbench_social_network--split--N--r3,deathstarbench_social_network,split,N,3,33990678586,read_user_timeline,1200,1079,0.8991666666666667,972,901,0.926954732510288
deathstarbench_social_network--split--N--r4,deathstarbench_social_network,split,N,4,33990678586,compose_post,1200,1121,0.9341666666666667,965,930,0.9637305699481865
deathstarbench_social_network--split--N--r4,deathstarbench_social_network,split,N,4,33990678586,read_home_timeline,1200,1200,1.0,938,938,1.0
deathstarbench_social_network--split--N--r4,deathstarbench_social_network,split,N,4,33990678586,read_user_timeline,1200,1110,0.925,972,917,0.9434156378600823
deathstarbench_social_network--split--N--r5,deathstarbench_social_network,split,N,5,33990678586,compose_post,1200,1137,0.9475,991,966,0.9747729566094854
deathstarbench_social_network--split--N--r5,deathstarbench_social_network,split,N,5,33990678586,read_home_timeline,1200,1200,1.0,1007,1007,1.0
deathstarbench_social_network--split--N--r5,deathstarbench_social_network,split,N,5,33990678586,read_user_timeline,1200,1132,0.9433333333333334,1006,966,0.9602385685884692
deathstarbench_social_network--split--N--r6,deathstarbench_social_network,split,N,6,33990678586,compose_post,1200,1142,0.9516666666666667,968,947,0.9783057851239669
deathstarbench_social_network--split--N--r6,deathstarbench_social_network,split,N,6,33990678586,read_home_timeline,1200,1200,1.0,977,977,1.0
deathstarbench_social_network--split--N--r6,deathstarbench_social_network,split,N,6,33990678586,read_user_timeline,1200,1112,0.9266666666666666,971,923,0.9505664263645726
deathstarbench_social_network--split--N--r7,deathstarbench_social_network,split,N,7,33990678586,compose_post,1200,1134,0.945,977,947,0.9692937563971341
deathstarbench_social_network--split--N--r7,deathstarbench_social_network,split,N,7,33990678586,read_home_timeline,1200,1200,1.0,975,975,1.0
deathstarbench_social_network--split--N--r7,deathstarbench_social_network,split,N,7,33990678586,read_user_timeline,1200,1088,0.9066666666666666,993,925,0.9315206445115811
deathstarbench_social_network--split--N--r8,deathstarbench_social_network,split,N,8,33990678586,compose_post,1200,1121,0.9341666666666667,954,912,0.9559748427672956
deathstarbench_social_network--split--N--r8,deathstarbench_social_network,split,N,8,33990678586,read_home_timeline,1200,1200,1.0,968,968,1.0
deathstarbench_social_network--split--N--r8,deathstarbench_social_network,split,N,8,33990678586,read_user_timeline,1200,1113,0.9275,990,934,0.9434343434343434
deathstarbench_social_network--split--N--r9,deathstarbench_social_network,split,N,9,33990678586,compose_post,1200,1147,0.9558333333333333,980,957,0.976530612244898
deathstarbench_social_network--split--N--r9,deathstarbench_social_network,split,N,9,33990678586,read_home_timeline,1200,1200,1.0,988,988,1.0
deathstarbench_social_network--split--N--r9,deathstarbench_social_network,split,N,9,33990678586,read_user_timeline,1200,1089,0.9075,984,923,0.9380081300813008
deathstarbench_social_network--split--NC--r0,deathstarbench_social_network,split,NC,0,33990678586,compose_post,1200,1053,0.8775,838,769,0.9176610978520287
deathstarbench_social_network--split--NC--r0,deathstarbench_social_network,split,NC,0,33990678586,read_home_timeline,1200,1200,1.0,820,820,1.0
deathstarbench_social_network--split--NC--r0,deathstarbench_social_network,split,NC,0,33990678586,read_user_timeline,1200,1040,0.8666666666666667,850,773,0.9094117647058824
