profile,scope,mode,view,method,operation,source_placement,target_placement,failure_law,expected_campaigns,issued_campaigns,coverage,all_test_requests,issued_test_requests,observed_all,observed_issued,prediction,signed_error_pp,signed_error_pp_lower95,signed_error_pp_upper95,absolute_error_pp,absolute_error_pp_lower95,absolute_error_pp_upper95,brier_score,brier_score_lower95,brier_score_upper95,represented_strata,minimum_issued_campaigns_per_stratum,absolute_error_median_pp,absolute_error_p90_pp,absence_reasons
deathstarbench_social_network,current,full,all_sequence,B1,read_home_timeline,split,split,N,10,10,1.0,12000,12000,1.0,1.0,0.9938271604938272,-0.6172839506172867,-0.6172839506172867,-0.6172839506172867,0.6172839506172867,0.6172839506172867,0.6172839506172867,3.8103947568968485e-05,3.8103947568968485e-05,3.8103947568968485e-05,1,10,0.6172839506172867,0.6172839506172867,{}
deathstarbench_social_network,current,full,all_sequence,B1,read_home_timeline,split,split,NC,10,10,1.0,12000,12000,1.0,1.0,0.9938271604938272,-0.6172839506172867,-0.6172839506172867,-0.6172839506172867,0.6172839506172867,0.6172839506172867,0.6172839506172867,3.8103947568968485e-05,3.8103947568968485e-05,3.8103947568968485e-05,1,10,0.6172839506172867,0.6172839506172867,{}
deathstarbench_social_network,current,full,all_sequence,B1,read_home_timeline,split,split,NCD,10,10,1.0,12000,12000,1.0,1.0,0.9938271604938272,-0.6172839506172867,-0.6172839506172867,-0.6172839506172867,0.6172839506172867,0.6172839506172867,0.6172839506172867,3.8103947568968485e-05,3.8103947568968485e-05,3.8103947568968485e-05,1,10,0.6172839506172867,0.6172839506172867,{}
deathstarbench_social_network,current,full,all_sequence,B1,read_home_timeline,split,split,ND,10,10,1.0,12000,12000,1.0,1.0,0.9938271604938272,-0.6172839506172867,-0.6172839506172867,-0.6172839506172867,0.6172839506172867,0.6172839506172867,0.6172839506172867,3.8103947568968485e-05,3.8103947568968485e-05,3.8103947568968485e-05,1,10,0.6172839506172867,0.6172839506172867,{}
deathstarbench_social_network,current,full,all_sequence,B1,read_user_timeline,colocated,colocated,N,10,10,1.0,12000,12000,0.9178333333333333,0.9178333333333333,0.9679091338304786,5.007580049714539,4.309829149319358,5.652689490221464,5.007580049714539,4.319692102511327,5.6526447356512035,0.07794527326070601,0.07210942690483318,0.08348514544628007,1,10,5.17254550752681,6.075596846615131,{}
deathstarbench_social_network,current,full,all_sequence,B1,read_user_timeline,colocated,colocated,NC,10,8,0.8,12000,9600,0.8729166666666666,0.8754166666666666,0.9257237363071874,5.030706964052071,3.559102209335208,6.458477170277737,5.030706964052071,3.5855629461243343,6.459986978674188,0.11177632120512132,0.10166581852801755,0.12119195286267392,1,8,5.430353286575224,7.429981553284947,"{""topology_ambiguous_target_fraction"": 2}"
deathstarbench_social_network,current,full,all_sequence,B1,read_user_timeline,colocated,colocated,NCD,10,7,0.7,12000,8400,0.79125,0.7933333333333333,0.8882849219980795,9.495158866474616,8.072084568103383,10.777194096687934,9.495158866474616,8.087271405318969,10.777194096687934,0.1730842237316618,0.16498870680506236,0.18161552986321086,1,7,10.56822336164882,10.998758514086363,"{""topology_ambiguous_target_fraction"": 3}"
deathstarbench_social_network,current,full,all_sequence,B1,read_user_timeline,colocated,colocated,ND,10,10,1.0,12000,12000,0.8467499999999999,0.8467499999999999,0.9320121564265593,8.526215642655925,7.840674548383284,9.203256988165817,8.526215642655925,7.841713194025941,9.182523215424954,0.13702679059636189,0.1323690041912964,0.14323040435322013,1,10,8.76357861465058,9.985929799571839,{}
deathstarbench_social_network,current,full,all_sequence,B1,read_user_timeline,split,split,N,10,10,1.0,12000,12000,0.9150833333333332,0.9150833333333332,0.9685640144245224,5.348068109118914,4.351621908485632,6.254352680965706,5.348068109118914,4.355248803242856,6.253045404513182,0.08060544913566148,0.07192697847872717,0.08866998422146403,1,10,5.590276877855732,7.037037536282377,{}
deathstarbench_social_network,current,full,all_sequence,B1,read_user_timeline,split,split,NC,10,3,0.3,12000,3600,0.8593333333333334,0.8547222222222222,0.9324850154214089,7.776279319918678,7.204999089739217,8.690766644127246,7.776279319918678,7.204999089739217,8.690766644127246,0.13008348331537026,0.12257384007720316,0.14476891470848968,1,3,7.433072225889569,8.43922776047971,"{""topology_ambiguous_target_fraction"": 7}"
deathstarbench_social_network,current,full,all_sequence,B1,read_user_timeline,split,split,NCD,10,7,0.7,12000,8400,0.8248333333333333,0.8189285714285715,0.879810923299773,6.088235187120153,3.571635118950692,8.699348976970475,6.088235187120153,3.6211084656768953,8.61447023759637,0.15259409715560415,0.13936829994133598,0.16738720823024766,1,7,6.263048859462472,10.27322250233405,"{""topology_ambiguous_target_fraction"": 3}"
