campaign_id,profile,placement,failure_law,repetition,operations,source_run_id
opentelemetry_demo--colocated--NC--r1,opentelemetry_demo,colocated,NC,1,3,33990678586
opentelemetry_demo--colocated--NC--r2,opentelemetry_demo,colocated,NC,2,3,33990678586
opentelemetry_demo--colocated--NC--r3,opentelemetry_demo,colocated,NC,3,3,33990678586
opentelemetry_demo--colocated--NC--r4,opentelemetry_demo,colocated,NC,4,3,33990678586
opentelemetry_demo--colocated--NC--r5,opentelemetry_demo,colocated,NC,5,3,33990678586
opentelemetry_demo--colocated--NC--r6,opentelemetry_demo,colocated,NC,6,3,33990678586
opentelemetry_demo--colocated--NC--r7,opentelemetry_demo,colocated,NC,7,3,33990678586
opentelemetry_demo--colocated--NC--r8,opentelemetry_demo,colocated,NC,8,3,33990678586
opentelemetry_demo--colocated--NC--r9,opentelemetry_demo,colocated,NC,9,3,33990678586
opentelemetry_demo--colocated--ND--r0,opentelemetry_demo,colocated,ND,0,3,33990678586
opentelemetry_demo--colocated--ND--r1,opentelemetry_demo,colocated,ND,1,3,33990678586
opentelemetry_demo--colocated--ND--r2,opentelemetry_demo,colocated,ND,2,3,33990678586
opentelemetry_demo--colocated--ND--r3,opentelemetry_demo,colocated,ND,3,3,33990678586
opentelemetry_demo--colocated--ND--r4,opentelemetry_demo,colocated,ND,4,3,33990678586
opentelemetry_demo--colocated--ND--r5,opentelemetry_demo,colocated,ND,5,3,33990678586
opentelemetry_demo--colocated--ND--r6,opentelemetry_demo,colocated,ND,6,3,33990678586
opentelemetry_demo--colocated--ND--r7,opentelemetry_demo,colocated,ND,7,3,33990678586
opentelemetry_demo--colocated--ND--r8,opentelemetry_demo,colocated,ND,8,3,33990678586
opentelemetry_demo--colocated--ND--r9,opentelemetry_demo,colocated,ND,9,3,33990678586
opentelemetry_demo--colocated--NCD--r0,opentelemetry_demo,colocated,NCD,0,3,33990678586
opentelemetry_demo--colocated--NCD--r1,opentelemetry_demo,colocated,NCD,1,3,33990678586
opentelemetry_demo--colocated--NCD--r2,opentelemetry_demo,colocated,NCD,2,3,33990678586
opentelemetry_demo--colocated--NCD--r3,opentelemetry_demo,colocated,NCD,3,3,33990678586
opentelemetry_demo--colocated--NCD--r4,opentelemetry_demo,colocated,NCD,4,3,33990678586
opentelemetry_demo--colocated--NCD--r5,opentelemetry_demo,colocated,NCD,5,3,33990678586
opentelemetry_demo--colocated--NCD--r6,opentelemetry_demo,colocated,NCD,6,3,33990678586
opentelemetry_demo--colocated--NCD--r7,opentelemetry_demo,colocated,NCD,7,3,33990678586
opentelemetry_demo--colocated--NCD--r8,opentelemetry_demo,colocated,NCD,8,3,33990678586
opentelemetry_demo--colocated--NCD--r9,opentelemetry_demo,colocated,NCD,9,3,33990678586
opentelemetry_demo--split--N--r0,opentelemetry_demo,split,N,0,3,33990678586
opentelemetry_demo--split--N--r1,opentelemetry_demo,split,N,1,3,33990678586
opentelemetry_demo--split--N--r2,opentelemetry_demo,split,N,2,3,33990678586
opentelemetry_demo--split--N--r3,opentelemetry_demo,split,N,3,3,33990678586
opentelemetry_demo--split--N--r4,opentelemetry_demo,split,N,4,3,33990678586
opentelemetry_demo--split--N--r5,opentelemetry_demo,split,N,5,3,33990678586
opentelemetry_demo--split--N--r6,opentelemetry_demo,split,N,6,3,33990678586
opentelemetry_demo--split--N--r7,opentelemetry_demo,split,N,7,3,33990678586
opentelemetry_demo--split--N--r8,opentelemetry_demo,split,N,8,3,33990678586
opentelemetry_demo--split--N--r9,opentelemetry_demo,split,N,9,3,33990678586
opentelemetry_demo--split--NC--r0,opentelemetry_demo,split,NC,0,3,33990678586
opentelemetry_demo--split--NC--r1,opentelemetry_demo,split,NC,1,3,33990678586
opentelemetry_demo--split--NC--r2,opentelemetry_demo,split,NC,2,3,33990678586
opentelemetry_demo--split--NC--r3,opentelemetry_demo,split,NC,3,3,33990678586
opentelemetry_demo--split--NC--r4,opentelemetry_demo,split,NC,4,3,33990678586
opentelemetry_demo--split--NC--r5,opentelemetry_demo,split,NC,5,3,33990678586
opentelemetry_demo--split--NC--r6,opentelemetry_demo,split,NC,6,3,33990678586
opentelemetry_demo--split--NC--r7,opentelemetry_demo,split,NC,7,3,33990678586
opentelemetry_demo--split--NC--r8,opentelemetry_demo,split,NC,8,3,33990678586
opentelemetry_demo--split--NC--r9,opentelemetry_demo,split,NC,9,3,33990678586
opentelemetry_demo--split--ND--r0,opentelemetry_demo,split,ND,0,3,33990678586
opentelemetry_demo--split--ND--r1,opentelemetry_demo,split,ND,1,3,33990678586
opentelemetry_demo--split--ND--r2,opentelemetry_demo,split,ND,2,3,33990678586
