profile,case_id,phase,functional,lower_exact,upper_exact,status
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,restore,selected_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,restore,without_completion,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,restore,without_completion_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,restore,without_deadline,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,restore,without_deadline_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,restore,without_selection,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,restore,without_selection_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,structure,execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,structure,reachability,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,structure,reachability_minus_execution,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,structure,selected,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,structure,selected_minus_execution,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,structure,without_completion,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,structure,without_completion_minus_execution,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,structure,without_deadline,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,structure,without_deadline_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,structure,without_selection,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,structure,without_selection_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,counts,execution,436/477,436/477,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,counts,reachability,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,counts,reachability_minus_execution,41/477,41/477,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,counts,selected,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,counts,selected_minus_execution,41/477,41/477,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,counts,without_completion,436/477,436/477,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,counts,without_completion_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,counts,without_deadline,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,counts,without_deadline_minus_execution,41/477,41/477,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,counts,without_selection,436/477,436/477,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,counts,without_selection_minus_execution,0,0,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,initial,execution,557/600,557/600,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,initial,reachability,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,initial,reachability_minus_execution,43/600,43/600,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,initial,selected,1,1,singleton_given_empirical_observation_law
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,initial,selected_minus_execution,43/600,43/600,singleton_given_empirical_observation_law
