profile,case_id,method,round,returncode,timed_out,wall_seconds,cpu_seconds,peak_rss_mib
deathstarbench_social_network,deathstarbench_social_network--split--NC--r0--compose_post,agrum_lazy,0,0,False,0.5,0.5,48.30859375
deathstarbench_social_network,deathstarbench_social_network--split--NC--r0--compose_post,storm_exact,0,0,False,0.28,0.28,95.14453125
deathstarbench_social_network,deathstarbench_social_network--split--NC--r0--compose_post,prepared_specialized,0,0,False,0.13,0.12,36.0859375
deathstarbench_social_network,deathstarbench_social_network--split--NC--r0--compose_post,cudd_controls_first,0,0,False,0.27,0.27,77.21484375
deathstarbench_social_network,deathstarbench_social_network--split--NC--r0--compose_post,cudd_sift_once,0,0,False,0.27,0.26,77.18359375
deathstarbench_social_network,deathstarbench_social_network--split--NC--r0--read_home_timeline,storm_exact,0,0,False,0.23,0.23,93.3515625
deathstarbench_social_network,deathstarbench_social_network--split--NC--r0--read_home_timeline,prepared_specialized,0,0,False,0.11,0.11,36.0546875
deathstarbench_social_network,deathstarbench_social_network--split--NC--r0--read_home_timeline,cudd_controls_first,0,0,False,0.25,0.25,76.84765625
deathstarbench_social_network,deathstarbench_social_network--split--NC--r0--read_home_timeline,cudd_sift_once,0,0,False,0.26,0.26,76.94140625
deathstarbench_social_network,deathstarbench_social_network--split--NC--r0--read_home_timeline,agrum_lazy,0,0,False,0.15,0.15000000000000002,47.515625
deathstarbench_social_network,deathstarbench_social_network--split--NC--r0--read_user_timeline,prepared_specialized,0,0,False,0.13,0.13,36.05078125
deathstarbench_social_network,deathstarbench_social_network--split--NC--r0--read_user_timeline,cudd_controls_first,0,0,False,0.27,0.26,77.0625
deathstarbench_social_network,deathstarbench_social_network--split--NC--r0--read_user_timeline,cudd_sift_once,0,0,False,0.27,0.27,77.09765625
deathstarbench_social_network,deathstarbench_social_network--split--NC--r0--read_user_timeline,agrum_lazy,0,0,False,0.44,0.44,48.01171875
deathstarbench_social_network,deathstarbench_social_network--split--NC--r0--read_user_timeline,storm_exact,0,0,False,0.26,0.26,94.8828125
deathstarbench_social_network,deathstarbench_social_network--split--NCD--r0--compose_post,cudd_controls_first,0,0,False,0.27,0.26,77.14453125
deathstarbench_social_network,deathstarbench_social_network--split--NCD--r0--compose_post,cudd_sift_once,0,0,False,0.28,0.28,77.15234375
deathstarbench_social_network,deathstarbench_social_network--split--NCD--r0--compose_post,agrum_lazy,0,0,False,0.66,0.66,48.22265625
deathstarbench_social_network,deathstarbench_social_network--split--NCD--r0--compose_post,storm_exact,0,0,False,0.3,0.30000000000000004,95.5546875
deathstarbench_social_network,deathstarbench_social_network--split--NCD--r0--compose_post,prepared_specialized,0,0,False,0.13,0.12,36.0859375
deathstarbench_social_network,deathstarbench_social_network--split--NCD--r0--read_home_timeline,cudd_sift_once,0,0,False,0.25,0.25,77.0078125
deathstarbench_social_network,deathstarbench_social_network--split--NCD--r0--read_home_timeline,agrum_lazy,0,0,False,0.16,0.15,47.5078125
deathstarbench_social_network,deathstarbench_social_network--split--NCD--r0--read_home_timeline,storm_exact,0,0,False,0.24,0.23,93.23828125
deathstarbench_social_network,deathstarbench_social_network--split--NCD--r0--read_home_timeline,prepared_specialized,0,0,False,0.12,0.11,36.05078125
deathstarbench_social_network,deathstarbench_social_network--split--NCD--r0--read_home_timeline,cudd_controls_first,0,0,False,0.26,0.25,76.79296875
deathstarbench_social_network,deathstarbench_social_network--split--NCD--r0--read_user_timeline,agrum_lazy,0,0,False,0.53,0.52,48.11328125
deathstarbench_social_network,deathstarbench_social_network--split--NCD--r0--read_user_timeline,storm_exact,0,0,False,0.28,0.27,95.11328125
deathstarbench_social_network,deathstarbench_social_network--split--NCD--r0--read_user_timeline,prepared_specialized,0,0,False,0.13,0.13,36.19140625
deathstarbench_social_network,deathstarbench_social_network--split--NCD--r0--read_user_timeline,cudd_controls_first,0,0,False,0.27,0.26,76.89453125
deathstarbench_social_network,deathstarbench_social_network--split--NCD--r0--read_user_timeline,cudd_sift_once,0,0,False,0.28,0.27,76.91796875
deathstarbench_social_network,deathstarbench_social_network--split--ND--r0--compose_post,storm_exact,0,0,False,0.26,0.25,94.609375
deathstarbench_social_network,deathstarbench_social_network--split--ND--r0--compose_post,prepared_specialized,0,0,False,0.13,0.13,36.1875
deathstarbench_social_network,deathstarbench_social_network--split--ND--r0--compose_post,cudd_controls_first,0,0,False,0.27,0.26,77.0546875
deathstarbench_social_network,deathstarbench_social_network--split--ND--r0--compose_post,cudd_sift_once,0,0,False,0.27,0.26,76.91015625
deathstarbench_social_network,deathstarbench_social_network--split--ND--r0--compose_post,agrum_lazy,0,0,False,0.3,0.29000000000000004,48.2578125
deathstarbench_social_network,deathstarbench_social_network--split--ND--r0--read_home_timeline,prepared_specialized,0,0,False,0.11,0.11,35.88671875
deathstarbench_social_network,deathstarbench_social_network--split--ND--r0--read_home_timeline,cudd_controls_first,0,0,False,0.26,0.26,76.99609375
deathstarbench_social_network,deathstarbench_social_network--split--ND--r0--read_home_timeline,cudd_sift_once,0,0,False,0.26,0.26,77.0
deathstarbench_social_network,deathstarbench_social_network--split--ND--r0--read_home_timeline,agrum_lazy,0,0,False,0.15,0.15,47.5390625
deathstarbench_social_network,deathstarbench_social_network--split--ND--r0--read_home_timeline,storm_exact,0,0,False,0.24,0.22999999999999998,93.6015625
deathstarbench_social_network,deathstarbench_social_network--split--ND--r0--read_user_timeline,cudd_controls_first,0,0,False,0.27,0.26,76.73046875
deathstarbench_social_network,deathstarbench_social_network--split--ND--r0--read_user_timeline,cudd_sift_once,0,0,False,0.26,0.25,76.78515625
deathstarbench_social_network,deathstarbench_social_network--split--ND--r0--read_user_timeline,agrum_lazy,0,0,False,0.25,0.24,47.8984375
deathstarbench_social_network,deathstarbench_social_network--split--ND--r0--read_user_timeline,storm_exact,0,0,False,0.24,0.24,94.4609375
deathstarbench_social_network,deathstarbench_social_network--split--ND--r0--read_user_timeline,prepared_specialized,0,0,False,0.12,0.11,36.05859375
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_controls_first,1,0,False,0.27,0.27,77.1328125
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_sift_once,1,0,False,0.26,0.26,77.21875
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,agrum_lazy,1,0,False,0.26,0.26,48.2578125
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,storm_exact,1,0,False,0.25,0.24,94.5703125
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,prepared_specialized,1,0,False,0.12,0.12,36.078125
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,cudd_sift_once,1,0,False,0.26,0.25,76.7578125
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,agrum_lazy,1,0,False,0.15,0.15,47.37109375
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,storm_exact,1,0,False,0.24,0.23,93.609375
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,prepared_specialized,1,0,False,0.11,0.11,35.95703125
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,cudd_controls_first,1,0,False,0.27,0.26,76.93359375
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,agrum_lazy,1,0,False,0.22,0.22,47.7734375
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,storm_exact,1,0,False,0.24,0.24,94.82421875
