profile,phase,method,planned,qualified,failed,total_median_ms,cpu_median_ms,key_check_median_ms,construction_median_ms,data_update_median_ms,inference_median_ms,reconstructed_records,fully_paired_cases,other_over_prepared_median
opentelemetry_demo,metadata,prepared_specialized,72,72,0,1.0872035,1.0891885,0.04269,0.0,0.0,1.01369,0,0,
opentelemetry_demo,metadata,cudd_controls_first,72,72,0,1.143759,1.146466,0.0419135,0.0,0.0,1.08828,0,24,1.068283873293214
opentelemetry_demo,metadata,cudd_sift_once,72,72,0,1.1316275,1.1336915,0.042074,0.0,0.0,1.0776664999999999,0,24,1.0754002936676261
opentelemetry_demo,metadata,agrum_lazy,72,72,0,39.0684655,39.071094,0.051858,0.0,0.0134055,38.988665499999996,0,24,36.54016613418287
opentelemetry_demo,metadata,storm_exact,72,72,0,3.4007515,3.396026,0.0460815,0.0,0.002946,3.3431480000000002,0,24,3.245777027031063
opentelemetry_demo,structure,prepared_specialized,72,72,0,1.908106,1.9102625,0.0421995,0.790956,0.0,1.0243,72,0,
opentelemetry_demo,structure,cudd_controls_first,72,72,0,6.2030425000000005,6.2060735000000005,0.042571,5.0519745,0.0,1.099306,72,24,3.2643340560350635
opentelemetry_demo,structure,cudd_sift_once,72,72,0,7.3611245,7.3439239999999995,0.0459365,6.130451,0.0,1.1163745,72,24,3.8522960282724146
opentelemetry_demo,structure,agrum_lazy,72,72,0,21.970699,21.9742035,0.053751,4.3066465,0.0099085,17.565554499999998,72,24,10.925274605596057
opentelemetry_demo,structure,storm_exact,72,72,0,7.223712,7.2263839999999995,0.045134999999999995,4.0050095,0.003251,3.1468895000000003,72,24,3.7646912137596984
opentelemetry_demo,restore,prepared_specialized,72,72,0,2.481153,2.483262,0.047409,1.268585,0.0,1.011466,72,0,
opentelemetry_demo,restore,cudd_controls_first,72,72,0,6.008862499999999,6.011540500000001,0.0442635,4.773345,0.0,1.1617285,72,24,2.408906210678387
opentelemetry_demo,restore,cudd_sift_once,72,72,0,6.9956375,6.998358,0.0449795,5.958658,0.0,1.1352185000000001,72,24,2.921632412390471
opentelemetry_demo,restore,agrum_lazy,72,72,0,49.605177999999995,49.6036875,0.053395,10.0467815,0.008666,39.3697135,72,24,20.155259224859307
opentelemetry_demo,restore,storm_exact,72,72,0,7.530358,7.526975500000001,0.046062,4.0316695,0.0031755,3.4633515,72,24,3.122445703351402
spring_petclinic_microservices,initial,prepared_specialized,96,96,0,1.2945925,1.301634,0.06411549999999999,0.681165,0.0,0.5188024999999999,96,0,
spring_petclinic_microservices,initial,cudd_controls_first,96,96,0,5.771262,5.780093000000001,0.061056,4.978892,0.0,0.6710590000000001,96,32,6.455459801487662
spring_petclinic_microservices,initial,cudd_sift_once,96,96,0,6.838313,6.8478390000000005,0.0603345,6.1543375000000005,0.0,0.6473745,96,32,7.789300609939662
spring_petclinic_microservices,initial,agrum_lazy,96,96,0,17.4504005,17.458524,0.058292,4.215469499999999,0.007401,13.189258,96,32,12.708435456839485
spring_petclinic_microservices,initial,storm_exact,96,96,0,3.90694,3.9137,0.059928999999999996,2.4676850000000004,0.003175,1.382855,96,32,3.5468999086878332
spring_petclinic_microservices,repeat,prepared_specialized,96,96,0,0.5031950000000001,0.505146,0.033955,0.0,0.0,0.46120249999999996,0,0,
spring_petclinic_microservices,repeat,cudd_controls_first,96,96,0,0.538907,0.541254,0.037906499999999996,0.0,0.0,0.493996,0,32,1.1134745141602886
spring_petclinic_microservices,repeat,cudd_sift_once,96,96,0,0.545142,0.547749,0.038272,0.0,0.0,0.508087,0,32,1.1274953621326822
spring_petclinic_microservices,repeat,agrum_lazy,96,96,0,12.9552845,12.952148999999999,0.0394235,0.0,0.010866,12.9063415,0,32,22.03084405231388
spring_petclinic_microservices,repeat,storm_exact,96,96,0,1.122056,1.124481,0.036449,0.0,0.002624,1.083278,0,32,2.179623579598167
spring_petclinic_microservices,counts,prepared_specialized,96,96,0,0.4568955,0.4586515,0.0296895,0.0,0.0,0.42753700000000006,0,0,
spring_petclinic_microservices,counts,cudd_controls_first,96,96,0,0.51688,0.519391,0.0319575,0.0,0.0,0.4815515,0,32,1.0945889209677109
spring_petclinic_microservices,counts,cudd_sift_once,96,96,0,0.4934055,0.49553149999999996,0.031772499999999995,0.0,0.0,0.4611775,0,32,1.0944905318946496
spring_petclinic_microservices,counts,agrum_lazy,96,96,0,12.9914035,12.994787,0.039309,0.0,0.107335,12.8338035,0,32,23.081495921277092
spring_petclinic_microservices,counts,storm_exact,96,96,0,1.1862075,1.1887765,0.0331545,0.0,0.08646899999999999,1.0584215,0,32,2.284264778939594
spring_petclinic_microservices,masks,prepared_specialized,96,96,0,0.45462749999999996,0.4566335,0.030199999999999998,0.0,0.0,0.42288950000000003,0,0,
spring_petclinic_microservices,masks,cudd_controls_first,96,96,0,0.5496380000000001,0.5519705,0.030225000000000002,0.0,0.0,0.5106955,0,32,1.3630419469792732
spring_petclinic_microservices,masks,cudd_sift_once,96,96,0,0.5659730000000001,0.5683845,0.031417,0.0,0.0,0.5365489999999999,0,32,1.3923142473722119
spring_petclinic_microservices,masks,agrum_lazy,96,96,0,14.3092695,14.3126105,0.039653999999999995,0.0,1.3984435000000002,12.867569000000001,0,32,26.179515310017628
spring_petclinic_microservices,masks,storm_exact,96,96,0,3.0111535,3.013833,0.0334345,0.0,1.789895,1.2171585,0,32,8.90355458636995
spring_petclinic_microservices,metadata,prepared_specialized,96,96,0,0.442168,0.443845,0.026549,0.0,0.0,0.414262,0,0,
spring_petclinic_microservices,metadata,cudd_controls_first,96,96,0,0.5027185000000001,0.504985,0.030696,0.0,0.0,0.4733645,0,32,1.1155130068897163
spring_petclinic_microservices,metadata,cudd_sift_once,96,96,0,0.4931295,0.49482499999999996,0.0318575,0.0,0.0,0.46097150000000003,0,32,1.1141419221690279
spring_petclinic_microservices,metadata,agrum_lazy,96,96,0,12.906677,12.9109925,0.037611000000000006,0.0,0.0102205,12.857168,0,32,23.349336929828716
spring_petclinic_microservices,metadata,storm_exact,96,96,0,1.1999325,1.202667,0.0345515,0.0,0.002013,1.163058,0,32,2.874303364852477
spring_petclinic_microservices,structure,prepared_specialized,96,96,0,0.8604769999999999,0.8623865000000001,0.0268,0.40550400000000003,0.0,0.433776,96,0,
spring_petclinic_microservices,structure,cudd_controls_first,96,96,0,5.806900499999999,5.8094915,0.028978,5.027373000000001,0.0,0.5174405,96,32,12.131697162163501
spring_petclinic_microservices,structure,cudd_sift_once,96,96,0,6.7865795,6.7900434999999995,0.028617999999999998,6.202114,0.0,0.509704,96,32,14.605159959325336
spring_petclinic_microservices,structure,agrum_lazy,96,96,0,8.375651,8.378458,0.0395335,1.7717079999999998,0.0065795,6.5595915,96,32,8.083240716206365
spring_petclinic_microservices,structure,storm_exact,96,96,0,2.833034,2.83709,0.0321125,1.668214,0.002173,1.151541,96,32,5.133918587214803
spring_petclinic_microservices,restore,prepared_specialized,96,96,0,1.0695670000000002,1.0716575,0.0273805,0.5879055,0.0,0.449584,96,0,
spring_petclinic_microservices,restore,cudd_controls_first,96,96,0,5.0810165000000005,5.085611500000001,0.032804,4.703431500000001,0.0,0.5154225,96,32,11.164791810310952
spring_petclinic_microservices,restore,cudd_sift_once,96,96,0,6.370785,6.3748515,0.033549999999999996,5.9611350000000005,0.0,0.549188,96,32,12.31297377170371
spring_petclinic_microservices,restore,agrum_lazy,96,96,0,16.165917,16.1704755,0.036088999999999996,3.4140405,0.005578,12.738165500000001,96,32,14.909438358853116
spring_petclinic_microservices,restore,storm_exact,96,96,0,2.808058,2.810766,0.0331645,1.6958760000000002,0.002203,1.093844,96,32,4.195935293256614
synthetic,initial,prepared_specialized,81,81,0,77.691829,77.696157,0.087423,76.835981,0.0,0.503892,81,0,
synthetic,initial,cudd_controls_first,81,81,0,5.866797,5.871051,0.091381,5.117443,0.0,0.611653,81,27,0.0945442425322824
synthetic,initial,cudd_sift_once,81,81,0,7.641234,7.648026,0.092542,6.867389,0.0,0.602755,81,27,0.12069860728231403
synthetic,initial,agrum_lazy,81,78,3,42.275755000000004,42.2756975,0.090279,17.5307085,0.007894499999999999,25.2227325,78,26,0.5391622986356
synthetic,initial,storm_exact,81,81,0,9.04714,9.052506,0.095028,6.306428,0.002534,3.639104,81,27,0.11069960966370565
synthetic,repeat,prepared_specialized,81,81,0,0.516294,0.518647,0.0696,0.0,0.0,0.429361,0,0,
synthetic,repeat,cudd_controls_first,81,81,0,0.565015,0.567378,0.077665,0.0,0.0,0.489804,0,27,1.1026008239183862
synthetic,repeat,cudd_sift_once,81,81,0,0.572609,0.575042,0.076974,0.0,0.0,0.49236,0,27,1.0973001752176954
synthetic,repeat,agrum_lazy,81,78,3,25.010994,25.0135285,0.073793,0.0,0.010048999999999999,24.9210855,0,26,47.653347020252724
synthetic,repeat,storm_exact,81,81,0,3.39577,3.398349,0.065402,0.0,0.003106,3.324687,0,27,6.732235514757051
synthetic,counts,prepared_specialized,81,81,0,0.488202,0.490215,0.060282,0.0,0.0,0.424823,0,0,
synthetic,counts,cudd_controls_first,81,81,0,0.542905,0.545026,0.066053,0.0,0.0,0.460029,0,27,1.0988317325046
synthetic,counts,cudd_sift_once,81,81,0,0.539727,0.541961,0.065232,0.0,0.0,0.466151,0,27,1.1149887247703647
synthetic,counts,agrum_lazy,81,78,3,24.903022,24.905922,0.06654399999999999,0.0,0.3484305,24.427735,0,26,48.111936293432194
