profile,case_id,method,round,phase,status,total_ms,cpu_ms,key_check_ms,construction_ms,data_update_ms,inference_and_validation_ms,reconstructed,error
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,cudd_sift_once,0,metadata,qualified,0.172342,0.174416,0.029495,0.0,0.0,0.141906,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,cudd_sift_once,0,structure,qualified,6.291301,6.294351,0.027271,6.094744,0.0,0.167784,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,cudd_sift_once,0,restore,qualified,6.030784,6.033634,0.032671,5.83598,0.0,0.160641,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,agrum_lazy,0,initial,qualified,4.650401,4.65581,0.047088,2.1697,0.005911,2.425588,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,agrum_lazy,0,repeat,qualified,2.328206,2.330865,0.034204,0.0,0.008035,2.284515,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,agrum_lazy,0,counts,qualified,2.260088,2.262778,0.033733,0.0,0.007644,2.217259,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,agrum_lazy,0,masks,qualified,2.596248,2.598765,0.034414,0.0,0.36883,2.191621,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,agrum_lazy,0,metadata,qualified,2.215265,2.217733,0.032631,0.0,0.007084,2.174157,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,agrum_lazy,0,structure,qualified,1.296646,1.298998,0.032771,0.317193,0.006081,0.938687,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,agrum_lazy,0,restore,qualified,3.760165,3.76254,0.032651,1.529852,0.005109,2.19074,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,storm_exact,0,initial,qualified,2.245221,2.250896,0.051487,1.679462,0.001703,0.510465,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,storm_exact,0,repeat,qualified,0.377797,0.380251,0.034826,0.0,0.001763,0.339976,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,storm_exact,0,counts,qualified,0.351848,0.354132,0.031509,0.0,0.001453,0.317744,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,storm_exact,0,masks,qualified,1.995975,1.998263,0.030497,0.0,1.366717,0.597368,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,storm_exact,0,metadata,qualified,0.564697,0.567009,0.029965,0.0,0.001393,0.532085,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,storm_exact,0,structure,qualified,1.890077,1.892496,0.033543,1.300834,0.001363,0.552453,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,storm_exact,0,restore,qualified,1.517419,1.520101,0.031589,1.139783,0.001342,0.342922,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,prepared_specialized,0,initial,qualified,0.403875,0.409164,0.049793,0.173003,0.0,0.179696,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,prepared_specialized,0,repeat,qualified,0.214712,0.216925,0.050836,0.0,0.0,0.162344,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,prepared_specialized,0,counts,qualified,0.160069,0.161952,0.030687,0.0,0.0,0.128441,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,prepared_specialized,0,masks,qualified,0.150141,0.151894,0.028643,0.0,0.0,0.120565,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,prepared_specialized,0,metadata,qualified,0.169807,0.172472,0.02645,0.0,0.0,0.142357,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,prepared_specialized,0,structure,qualified,0.257693,0.259585,0.027511,0.101429,0.0,0.127729,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,prepared_specialized,0,restore,qualified,0.260558,0.262451,0.025187,0.113823,0.0,0.120605,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,cudd_sift_once,0,initial,qualified,6.511984,6.518239,0.052628,5.988224,0.0,0.469278,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,cudd_sift_once,0,repeat,qualified,0.481381,0.483404,0.038552,0.0,0.0,0.441696,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,cudd_sift_once,0,counts,qualified,0.383308,0.38528,0.034244,0.0,0.0,0.348141,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,cudd_sift_once,0,masks,qualified,0.389959,0.391882,0.03203,0.0,0.0,0.356888,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,cudd_sift_once,0,metadata,qualified,0.378659,0.380491,0.030136,0.0,0.0,0.347631,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,cudd_sift_once,0,structure,qualified,6.433017,6.435586,0.030907,6.037927,0.0,0.362448,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,cudd_sift_once,0,restore,qualified,6.326978,6.330249,0.033783,5.906191,0.0,0.38496,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,agrum_lazy,0,initial,qualified,16.300349,16.307532,0.054832,5.416224,0.006993,10.819594,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,agrum_lazy,0,repeat,qualified,10.627805,10.630464,0.061294,0.0,0.009709,10.555228,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,agrum_lazy,0,counts,qualified,10.709087,10.711846,0.03732,0.0,0.209944,10.460511,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,agrum_lazy,0,masks,qualified,11.718476,11.721222,0.037901,0.0,1.194435,10.484437,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,agrum_lazy,0,metadata,qualified,10.641641,10.644059,0.036448,0.0,0.009408,10.594241,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,agrum_lazy,0,structure,qualified,8.223056,8.22574,0.03746,2.519053,0.007294,5.657445,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,agrum_lazy,0,restore,qualified,15.316949,15.320708,0.036107,4.726163,0.006422,10.546162,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,storm_exact,0,initial,qualified,2.823843,2.828955,0.0589,1.966309,0.002124,0.794446,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,storm_exact,0,repeat,qualified,0.6356,0.638122,0.055724,0.0,0.002385,0.576028,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,storm_exact,0,counts,qualified,0.738521,0.740914,0.034134,0.0,0.119434,0.583692,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,storm_exact,0,masks,qualified,2.997058,2.999515,0.037019,0.0,1.733423,1.225163,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,storm_exact,0,metadata,qualified,1.235802,1.238244,0.032531,0.0,0.001773,1.200056,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,storm_exact,0,structure,qualified,2.7041,2.706437,0.035377,1.65202,0.001794,1.013105,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,storm_exact,0,restore,qualified,2.087566,2.090025,0.032691,1.430346,0.001783,0.620893,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,prepared_specialized,0,initial,qualified,1.663452,1.668478,0.045876,1.205736,0.0,0.410097,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,prepared_specialized,0,repeat,qualified,0.358451,0.360304,0.034023,0.0,0.0,0.323475,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,prepared_specialized,0,counts,qualified,0.346118,0.34805,0.03223,0.0,0.0,0.312926,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,prepared_specialized,0,masks,qualified,0.358962,0.360694,0.030227,0.0,0.0,0.327613,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,prepared_specialized,0,metadata,qualified,0.338133,0.339926,0.028784,0.0,0.0,0.308477,False,
