profile,case_id,phase,method,paired_rounds,other_over_prepared_median,min_ratio,max_ratio
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,initial,cudd_controls_first,3,3.2895623077792444,3.224954624088937,3.419837272047864
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,initial,cudd_sift_once,3,4.0682633444701874,3.914741152735396,4.140792353213654
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,initial,agrum_lazy,3,9.728277857163969,9.713984052257924,9.799109923219907
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,initial,storm_exact,3,1.735651049790609,1.69758009248238,1.7497585741610113
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,repeat,cudd_controls_first,3,1.3442311501432553,1.1991111989439787,1.3845203958164127
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,repeat,cudd_sift_once,3,1.3429478506127754,1.2946826488703764,1.3523589310083814
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,repeat,agrum_lazy,3,29.16059737116905,27.380611063394216,29.649254709848766
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,repeat,storm_exact,3,1.7670434768195455,1.5869507384294976,1.7731851773324667
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,counts,cudd_controls_first,3,1.067425533140736,1.0505430040444634,1.1191414488700386
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,counts,cudd_sift_once,3,1.1074489047087988,1.0180306235270555,1.2277717933486623
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,counts,agrum_lazy,3,30.358973848834268,28.766789852149984,30.9405665119988
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,counts,storm_exact,3,2.1337260702997245,2.0978268324869473,2.203655649316875
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,masks,cudd_controls_first,3,1.130228269287557,1.0153660556640027,1.1665136837977774
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,masks,cudd_sift_once,3,1.0863517586819775,1.0777463828518015,1.575073001048601
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,masks,agrum_lazy,3,32.64544993620495,31.517109051059514,34.26152941281313
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,masks,storm_exact,3,8.497484707179437,8.349234737938835,8.911973954295254
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,metadata,cudd_controls_first,3,1.080188869374946,1.0704987690958756,1.168176427618718
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,metadata,cudd_sift_once,3,1.1198522474884143,1.1069875910517375,1.1374256680043615
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,metadata,agrum_lazy,3,30.42653672300118,29.14852066682404,31.471761111751885
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,metadata,storm_exact,3,3.654780811100957,3.4882923594015223,3.735519534736418
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,structure,cudd_controls_first,3,5.0064987723919625,4.919556245964384,5.038580958529312
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,structure,cudd_sift_once,3,6.019985775914506,5.9893577479116535,6.289789134783346
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,structure,agrum_lazy,3,7.599694449571129,7.441588251788381,7.695095497889782
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,structure,storm_exact,3,2.54477543115374,2.5304835253272944,2.7064180504055675
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,restore,cudd_controls_first,3,3.4502638837239186,2.5030580414634445,3.5912886270138134
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,restore,cudd_sift_once,3,4.311087580726707,4.244226143764731,4.521604608838184
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,restore,agrum_lazy,3,10.393369288326365,10.376526185172656,10.43669009257253
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,restore,storm_exact,3,1.4483120931120226,1.4224294531366048,1.466502777526611
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,initial,cudd_controls_first,3,2.015616445559123,2.0002145683087886,2.070869596413822
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,initial,cudd_sift_once,3,2.400352527831411,2.3536443342681124,2.411964081759401
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,initial,agrum_lazy,3,23.575107262169936,23.251968126306775,23.996749408635857
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,initial,storm_exact,3,3.971816837675101,3.9702805304761744,3.973409312778744
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,repeat,cudd_controls_first,3,1.0714326206047113,1.0700988926514778,1.0884452281315993
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,repeat,cudd_sift_once,3,1.0783601664225946,1.066204397994259,1.0897155880994873
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,repeat,agrum_lazy,3,40.8869782672497,40.60577900742899,41.383174090278956
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,repeat,storm_exact,3,3.941619192902558,3.8985019359172535,3.9702933112763668
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,counts,cudd_controls_first,3,1.0516251290596281,1.0303896197140785,1.0601161453672487
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,counts,cudd_sift_once,3,1.0538076423744926,1.0371395069691007,1.0793410166024364
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,counts,agrum_lazy,3,40.07904246336221,39.665998227713054,40.54205171585414
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,counts,storm_exact,3,3.9939289370086195,3.9554358635553184,4.0219624985944
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,masks,cudd_controls_first,3,1.1247156486185108,1.1217105741790552,1.1423197836531471
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,masks,cudd_sift_once,3,1.0784590965193468,1.0533577004088712,1.1074632556065693
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,masks,agrum_lazy,3,47.15380123729289,46.410403295750214,48.18359498938621
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,masks,storm_exact,3,7.925903502795265,7.709887250650477,8.118988184282543
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,metadata,cudd_controls_first,3,1.0557080836648118,1.0515170372638,1.0703892999262512
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,metadata,cudd_sift_once,3,1.0611927373165,1.054841809830537,1.064604485754646
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,metadata,agrum_lazy,3,41.09368865650472,40.87178906782506,49.1688263050987
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,metadata,storm_exact,3,3.9839783601217995,3.9827118325076043,4.129383859744779
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,structure,cudd_controls_first,3,2.7393044324602513,2.73533779250615,2.744324209195875
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,structure,cudd_sift_once,3,3.3095472380913655,3.2611908109637957,3.3888678509343895
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,structure,agrum_lazy,3,12.939431796642667,12.74055787098217,13.03690783155933
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,structure,storm_exact,3,4.632171997657278,4.626614349319942,4.678533277360568
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,restore,cudd_controls_first,3,1.7004929844129815,1.6630714627904637,1.7577562010537822
