application,placement,law,repetition,operation,status,attempts,successes,lower_exact,upper_exact,b0_exact,success_excluded,failure_excluded,incompatible_attempts,incompatible_fraction,fully_observed_attempts,fully_observed_mismatches,ambiguous_attempts,aggregate_excess_above_upper_count,aggregate_deficit_below_lower_count,aggregate_contains_b0,incompatible_despite_aggregate_containment,ablation_without_selection_incompatible_attempts
deathstarbench_social_network,colocated,ND,4,compose_post,audited,1200,1079,1079/1200,1079/1200,1079/1200,0,0,0,0.0,1197,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,ND,4,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,ND,4,read_user_timeline,audited,1200,1035,69/80,69/80,69/80,0,0,0,0.0,1196,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,ND,5,compose_post,audited,1200,1045,209/240,209/240,209/240,0,0,0,0.0,1191,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,ND,5,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,ND,5,read_user_timeline,audited,1200,1029,343/400,343/400,343/400,0,0,0,0.0,1195,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,ND,6,compose_post,audited,1200,1025,41/48,41/48,41/48,0,0,0,0.0,1192,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,ND,6,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,ND,6,read_user_timeline,audited,1200,996,83/100,83/100,83/100,0,0,0,0.0,1188,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,ND,7,compose_post,audited,1200,1073,1073/1200,1073/1200,1073/1200,0,0,0,0.0,1189,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,ND,7,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,colocated,ND,7,read_user_timeline,audited,1200,1007,1007/1200,1007/1200,1007/1200,0,0,0,0.0,1188,0,0,0,0,True,False,0
