application,placement,law,repetition,operation,affected_attempts,ambiguities_resolved,ambiguous_attempts,attempts,compatible_fraction,failure_excluded,fully_observed_states,hidden_native_coordinates,identified_lower,identified_upper,information,known_native_coordinates,lower_count,mechanism,missing_fraction_requested,partially_masked_attempts,point_identified_attempts,point_identified_fraction,revealed_attempts,revealed_native_coordinates,success_excluded,successes,upper_count,whole_attempt_boundary_partial_row,width
deathstarbench_social_network,split,N,0,compose_post,1175,0,1115,1200,1.0,0,0,4481,0.02,0.9491666666666667,none,17926,24,failure_associated_coordinates,0.25,1164,85,0.07083333333333333,0,0,0,1139,1139,False,0.9291666666666667
deathstarbench_social_network,split,N,0,compose_post,1175,37,1078,1200,1.0,0,0,4481,0.050833333333333335,0.9491666666666667,selection_and_admission,17926,61,failure_associated_coordinates,0.25,1164,122,0.10166666666666667,667,864,0,1139,1139,False,0.8983333333333333
deathstarbench_social_network,split,N,0,compose_post,1175,8,1107,1200,1.0,0,0,4481,0.02666666666666667,0.9491666666666667,entry_result,17926,32,failure_associated_coordinates,0.25,1164,93,0.0775,293,293,0,1139,1139,False,0.9225
deathstarbench_social_network,split,N,0,compose_post,1175,390,725,1200,1.0,0,0,4481,0.345,0.9491666666666667,required_completions,17926,414,failure_associated_coordinates,0.25,1164,475,0.3958333333333333,1126,3324,0,1139,1139,False,0.6041666666666666
deathstarbench_social_network,split,N,0,compose_post,1175,1115,0,1200,1.0,0,0,4481,0.9491666666666667,0.9491666666666667,all_native,17926,1139,failure_associated_coordinates,0.25,1164,1200,1.0,1175,4481,0,1139,1139,False,0.0
deathstarbench_social_network,split,N,0,compose_post,1200,0,1140,1200,1.0,0,0,8963,0.0,0.95,none,17926,0,failure_associated_coordinates,0.5,1139,60,0.05,0,0,0,1139,1140,False,0.95
deathstarbench_social_network,split,N,0,compose_post,1200,0,1140,1200,1.0,0,0,8963,0.0,0.95,selection_and_admission,17926,0,failure_associated_coordinates,0.5,1139,60,0.05,1046,1744,0,1139,1140,False,0.95
deathstarbench_social_network,split,N,0,compose_post,1200,1,1139,1200,1.0,0,0,8963,0.0,0.9491666666666667,entry_result,17926,0,failure_associated_coordinates,0.5,1139,61,0.050833333333333335,603,603,0,1139,1139,False,0.9491666666666667
deathstarbench_social_network,split,N,0,compose_post,1200,79,1061,1200,1.0,0,0,8963,0.06583333333333333,0.95,required_completions,17926,79,failure_associated_coordinates,0.5,1139,139,0.11583333333333333,1199,6616,0,1139,1140,False,0.8841666666666667
deathstarbench_social_network,split,N,0,compose_post,1200,1140,0,1200,1.0,0,0,8963,0.9491666666666667,0.9491666666666667,all_native,17926,1139,failure_associated_coordinates,0.5,1139,1200,1.0,1200,8963,0,1139,1139,False,0.0
