application,mechanism,missing_fraction_requested,information,operation_cases,attempts,successes,lower_count,upper_count,ambiguous_attempts,point_identified_attempts,success_excluded,failure_excluded,fully_observed_states,known_native_coordinates,hidden_native_coordinates,affected_attempts,revealed_native_coordinates,revealed_attempts,ambiguities_resolved,identified_lower,identified_upper,width,point_identified_fraction,compatible_fraction
deathstarbench_social_network,whole_native_attempt,0.5,selection_and_admission,15,18000,17193,7919,17200,9281,8719,0,0,3600,143444,71720,9008,13494,4604,0,0.43994444444444447,0.9555555555555556,0.5156111111111111,0.48438888888888887,1.0
deathstarbench_social_network,whole_native_attempt,0.5,entry_result,15,18000,17193,7919,17193,9274,8726,0,0,3600,143444,71720,9008,9002,9002,7,0.43994444444444447,0.9551666666666667,0.5152222222222222,0.48477777777777775,1.0
deathstarbench_social_network,whole_native_attempt,0.5,required_completions,15,18000,17193,7921,17200,9279,8721,0,0,3600,143444,71720,9008,49224,8968,2,0.44005555555555553,0.9555555555555556,0.5155,0.4845,1.0
deathstarbench_social_network,whole_native_attempt,0.5,all_native,15,18000,17193,15811,17193,1382,16618,0,0,7200,143444,71720,9008,71720,9008,7899,0.8783888888888889,0.9551666666666667,0.07677777777777778,0.9232222222222223,1.0
deathstarbench_social_network,whole_native_attempt,0.75,none,15,18000,17193,3979,17209,13230,4770,0,0,1800,143444,107580,13513,0,0,0,0.22105555555555556,0.9560555555555555,0.735,0.265,1.0
deathstarbench_social_network,whole_native_attempt,0.75,selection_and_admission,15,18000,17193,3979,17209,13230,4770,0,0,1800,143444,107580,13513,20246,6909,0,0.22105555555555556,0.9560555555555555,0.735,0.265,1.0
deathstarbench_social_network,whole_native_attempt,0.75,entry_result,15,18000,17193,3979,17193,13214,4786,0,0,1800,143444,107580,13513,13508,13508,16,0.22105555555555556,0.9551666666666667,0.7341111111111112,0.2658888888888889,1.0
deathstarbench_social_network,whole_native_attempt,0.75,required_completions,15,18000,17193,3980,17209,13229,4771,0,0,1800,143444,107580,13513,73826,13449,1,0.22111111111111112,0.9560555555555555,0.7349444444444444,0.26505555555555554,1.0
deathstarbench_social_network,whole_native_attempt,0.75,all_native,15,18000,17193,15811,17193,1382,16618,0,0,7200,143444,107580,13513,107580,13513,11848,0.8783888888888889,0.9551666666666667,0.07677777777777778,0.9232222222222223,1.0
deathstarbench_social_network,whole_native_attempt,1,none,15,18000,17193,0,17214,17214,786,0,0,0,143444,143444,18000,0,0,0,0.0,0.9563333333333334,0.9563333333333334,0.043666666666666666,1.0
deathstarbench_social_network,whole_native_attempt,1,selection_and_admission,15,18000,17193,0,17214,17214,786,0,0,0,143444,143444,18000,27090,9237,0,0.0,0.9563333333333334,0.9563333333333334,0.043666666666666666,1.0
deathstarbench_social_network,whole_native_attempt,1,entry_result,15,18000,17193,0,17193,17193,807,0,0,0,143444,143444,18000,18000,18000,21,0.0,0.9551666666666667,0.9551666666666667,0.044833333333333336,1.0
deathstarbench_social_network,whole_native_attempt,1,required_completions,15,18000,17193,0,17214,17214,786,0,0,0,143444,143444,18000,98354,17915,0,0.0,0.9563333333333334,0.9563333333333334,0.043666666666666666,1.0
