application,repetition,multiplier,route,target,operation,query_repetition,nanoseconds
deathstarbench_social_network,0,1,projected_r,R,read_user_timeline,9,4826
deathstarbench_social_network,0,1,projected_r,R,compose_post,10,5543
deathstarbench_social_network,0,1,projected_r,R,read_home_timeline,10,3972
deathstarbench_social_network,0,1,projected_r,R,read_user_timeline,10,4916
deathstarbench_social_network,0,1,projected_r,R,compose_post,11,5698
deathstarbench_social_network,0,1,projected_r,R,read_home_timeline,11,4047
deathstarbench_social_network,0,1,projected_r,R,read_user_timeline,11,4732
deathstarbench_social_network,0,1,projected_r,R,compose_post,12,5561
deathstarbench_social_network,0,1,projected_r,R,read_home_timeline,12,3918
deathstarbench_social_network,0,1,projected_r,R,read_user_timeline,12,4812
deathstarbench_social_network,0,1,projected_r,R,compose_post,13,5305
deathstarbench_social_network,0,1,projected_r,R,read_home_timeline,13,4001
deathstarbench_social_network,0,1,projected_r,R,read_user_timeline,13,4844
deathstarbench_social_network,0,1,projected_r,R,compose_post,14,5442
deathstarbench_social_network,0,1,projected_r,R,read_home_timeline,14,3956
deathstarbench_social_network,0,1,projected_r,R,read_user_timeline,14,4765
deathstarbench_social_network,0,1,projected_r,R,compose_post,15,5538
deathstarbench_social_network,0,1,projected_r,R,read_home_timeline,15,3943
deathstarbench_social_network,0,1,projected_r,R,read_user_timeline,15,4783
deathstarbench_social_network,0,1,projected_r,R,compose_post,16,5407
deathstarbench_social_network,0,1,projected_r,R,read_home_timeline,16,3899
deathstarbench_social_network,0,1,projected_r,R,read_user_timeline,16,4686
deathstarbench_social_network,0,1,projected_r,R,compose_post,17,5340
deathstarbench_social_network,0,1,projected_r,R,read_home_timeline,17,4020
deathstarbench_social_network,0,1,projected_r,R,read_user_timeline,17,4957
deathstarbench_social_network,0,1,projected_r,R,compose_post,18,5725
deathstarbench_social_network,0,1,projected_r,R,read_home_timeline,18,3864
deathstarbench_social_network,0,1,projected_r,R,read_user_timeline,18,4633
deathstarbench_social_network,0,1,projected_r,R,compose_post,19,5613
deathstarbench_social_network,0,1,projected_r,R,read_home_timeline,19,3909
deathstarbench_social_network,0,1,projected_r,R,read_user_timeline,19,4737
deathstarbench_social_network,0,1,projected_r,R,compose_post,20,5455
deathstarbench_social_network,0,1,projected_r,R,read_home_timeline,20,3893
deathstarbench_social_network,0,1,projected_r,R,read_user_timeline,20,4852
deathstarbench_social_network,0,1,projected_r,R,compose_post,21,5596
deathstarbench_social_network,0,1,projected_r,R,read_home_timeline,21,3973
deathstarbench_social_network,0,1,projected_r,R,read_user_timeline,21,4744
deathstarbench_social_network,0,1,projected_r,R,compose_post,22,5427
deathstarbench_social_network,0,1,projected_r,R,read_home_timeline,22,4074
deathstarbench_social_network,0,1,projected_r,R,read_user_timeline,22,4955
deathstarbench_social_network,0,1,projected_r,R,compose_post,23,5324
deathstarbench_social_network,0,1,projected_r,R,read_home_timeline,23,4308
deathstarbench_social_network,0,1,projected_r,R,read_user_timeline,23,4971
deathstarbench_social_network,0,1,projected_r,R,compose_post,24,5555
deathstarbench_social_network,0,1,projected_r,R,read_home_timeline,24,3910
deathstarbench_social_network,0,1,projected_r,R,read_user_timeline,24,4707
deathstarbench_social_network,0,1,projected_r,R,compose_post,25,5506
deathstarbench_social_network,0,1,projected_r,R,read_home_timeline,25,3908
deathstarbench_social_network,0,1,projected_r,R,read_user_timeline,25,4826
deathstarbench_social_network,0,1,projected_r,R,compose_post,26,5545
deathstarbench_social_network,0,1,projected_r,R,read_home_timeline,26,3934
deathstarbench_social_network,0,1,projected_r,R,read_user_timeline,26,4849
deathstarbench_social_network,0,1,projected_r,R,compose_post,27,5456
deathstarbench_social_network,0,1,projected_r,R,read_home_timeline,27,3995
deathstarbench_social_network,0,1,projected_r,R,read_user_timeline,27,4823
deathstarbench_social_network,0,1,projected_r,R,compose_post,28,5712
deathstarbench_social_network,0,1,projected_r,R,read_home_timeline,28,4107
deathstarbench_social_network,0,1,projected_r,R,read_user_timeline,28,4717
deathstarbench_social_network,0,1,projected_r,R,compose_post,29,5436
deathstarbench_social_network,0,1,projected_r,R,read_home_timeline,29,4069
deathstarbench_social_network,0,1,projected_r,R,read_user_timeline,29,4754
deathstarbench_social_network,0,1,projected_r,R,compose_post,30,5533
deathstarbench_social_network,0,1,projected_r,R,read_home_timeline,30,3890
deathstarbench_social_network,0,1,projected_r,R,read_user_timeline,30,4945
deathstarbench_social_network,0,1,direct_r,R,compose_post,0,24035
deathstarbench_social_network,0,1,direct_r,R,read_home_timeline,0,6649
deathstarbench_social_network,0,1,direct_r,R,read_user_timeline,0,6541
deathstarbench_social_network,0,1,direct_r,R,compose_post,1,6176
deathstarbench_social_network,0,1,direct_r,R,read_home_timeline,1,4163
deathstarbench_social_network,0,1,direct_r,R,read_user_timeline,1,5119
deathstarbench_social_network,0,1,direct_r,R,compose_post,2,5625
deathstarbench_social_network,0,1,direct_r,R,read_home_timeline,2,3973
deathstarbench_social_network,0,1,direct_r,R,read_user_timeline,2,4705
deathstarbench_social_network,0,1,direct_r,R,compose_post,3,5496
deathstarbench_social_network,0,1,direct_r,R,read_home_timeline,3,4009
deathstarbench_social_network,0,1,direct_r,R,read_user_timeline,3,4787
deathstarbench_social_network,0,1,direct_r,R,compose_post,4,5540
deathstarbench_social_network,0,1,direct_r,R,read_home_timeline,4,3960
deathstarbench_social_network,0,1,direct_r,R,read_user_timeline,4,4769
deathstarbench_social_network,0,1,direct_r,R,compose_post,5,5602
deathstarbench_social_network,0,1,direct_r,R,read_home_timeline,5,4383
deathstarbench_social_network,0,1,direct_r,R,read_user_timeline,5,5028
deathstarbench_social_network,0,1,direct_r,R,compose_post,6,5522
deathstarbench_social_network,0,1,direct_r,R,read_home_timeline,6,4049
deathstarbench_social_network,0,1,direct_r,R,read_user_timeline,6,4919
deathstarbench_social_network,0,1,direct_r,R,compose_post,7,5587
deathstarbench_social_network,0,1,direct_r,R,read_home_timeline,7,3953
deathstarbench_social_network,0,1,direct_r,R,read_user_timeline,7,4839
deathstarbench_social_network,0,1,direct_r,R,compose_post,8,5512
deathstarbench_social_network,0,1,direct_r,R,read_home_timeline,8,4106
deathstarbench_social_network,0,1,direct_r,R,read_user_timeline,8,4780
deathstarbench_social_network,0,1,direct_r,R,compose_post,9,5456
deathstarbench_social_network,0,1,direct_r,R,read_home_timeline,9,4090
deathstarbench_social_network,0,1,direct_r,R,read_user_timeline,9,4700
deathstarbench_social_network,0,1,direct_r,R,compose_post,10,5480
deathstarbench_social_network,0,1,direct_r,R,read_home_timeline,10,4180
deathstarbench_social_network,0,1,direct_r,R,read_user_timeline,10,4654
deathstarbench_social_network,0,1,direct_r,R,compose_post,11,5907
deathstarbench_social_network,0,1,direct_r,R,read_home_timeline,11,3831
deathstarbench_social_network,0,1,direct_r,R,read_user_timeline,11,4691
deathstarbench_social_network,0,1,direct_r,R,compose_post,12,5462
deathstarbench_social_network,0,1,direct_r,R,read_home_timeline,12,4006
deathstarbench_social_network,0,1,direct_r,R,read_user_timeline,12,4733
deathstarbench_social_network,0,1,direct_r,R,compose_post,13,5490
deathstarbench_social_network,0,1,direct_r,R,read_home_timeline,13,3841
deathstarbench_social_network,0,1,direct_r,R,read_user_timeline,13,4813
deathstarbench_social_network,0,1,direct_r,R,compose_post,14,5452
deathstarbench_social_network,0,1,direct_r,R,read_home_timeline,14,3976
deathstarbench_social_network,0,1,direct_r,R,read_user_timeline,14,4742
deathstarbench_social_network,0,1,direct_r,R,compose_post,15,5432
deathstarbench_social_network,0,1,direct_r,R,read_home_timeline,15,3925
deathstarbench_social_network,0,1,direct_r,R,read_user_timeline,15,4675
deathstarbench_social_network,0,1,direct_r,R,compose_post,16,5364
deathstarbench_social_network,0,1,direct_r,R,read_home_timeline,16,3998
deathstarbench_social_network,0,1,direct_r,R,read_user_timeline,16,4797
deathstarbench_social_network,0,1,direct_r,R,compose_post,17,5496
deathstarbench_social_network,0,1,direct_r,R,read_home_timeline,17,3987
deathstarbench_social_network,0,1,direct_r,R,read_user_timeline,17,4832
deathstarbench_social_network,0,1,direct_r,R,compose_post,18,5480
deathstarbench_social_network,0,1,direct_r,R,read_home_timeline,18,4003
deathstarbench_social_network,0,1,direct_r,R,read_user_timeline,18,4731
deathstarbench_social_network,0,1,direct_r,R,compose_post,19,5649
deathstarbench_social_network,0,1,direct_r,R,read_home_timeline,19,3883
deathstarbench_social_network,0,1,direct_r,R,read_user_timeline,19,5097
deathstarbench_social_network,0,1,direct_r,R,compose_post,20,5562
deathstarbench_social_network,0,1,direct_r,R,read_home_timeline,20,4013
deathstarbench_social_network,0,1,direct_r,R,read_user_timeline,20,4691
deathstarbench_social_network,0,1,direct_r,R,compose_post,21,5507
deathstarbench_social_network,0,1,direct_r,R,read_home_timeline,21,3856
deathstarbench_social_network,0,1,direct_r,R,read_user_timeline,21,4792
deathstarbench_social_network,0,1,direct_r,R,compose_post,22,5471
deathstarbench_social_network,0,1,direct_r,R,read_home_timeline,22,3896
deathstarbench_social_network,0,1,direct_r,R,read_user_timeline,22,5026
