application,repetition,multiplier,route,target,calls,first_query_seconds,frequency_identification_seconds,interpretation_seconds,operation,projection_seconds,representation_seconds,total_identification_seconds,categories,coordinates,samples
deathstarbench_social_network,1,4,direct_r,R,"{""logical_completion"": 9600, ""reduced_category_identification"": 1, ""request_evidence"": 4800}",3.67939999250666e-05,0.007605006000062531,0.4350079909985425,read_home_timeline,0.0,0.07046399400132941,0.5130769909999344,1,2,4800
deathstarbench_social_network,1,4,direct_r,R,"{""logical_completion"": 9600, ""reduced_category_identification"": 1, ""request_evidence"": 4800}",3.442299998823728e-05,0.007498177000002215,0.45695114899399414,read_user_timeline,0.0,0.07100478200607085,0.5354541080000672,2,2,4800
deathstarbench_social_network,1,4,full_e,E,"{""align_probe"": 4800, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 52800, ""native_admissions"": 4800, ""request_evidence"": 4800, ""timestamp_ns"": 1800}",0.0012799549999726878,0.018635352000046623,2.358386988005691,compose_post,0.0,0.5527017179942959,2.9297240580000334,5,17,4800
deathstarbench_social_network,1,4,full_e,E,"{""align_probe"": 4800, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 9600, ""request_evidence"": 4800, ""timestamp_ns"": 1800}",9.443999999803054e-05,0.008825408999996398,0.46124727001210886,read_home_timeline,0.0,0.09903728098800002,0.5691099600001053,1,4,4800
deathstarbench_social_network,1,4,full_e,E,"{""align_probe"": 4800, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 9600, ""native_admissions"": 4800, ""request_evidence"": 4800, ""timestamp_ns"": 1800}",0.0002496490000112317,0.012229613000044992,0.8324313839895012,read_user_timeline,0.0,0.12989750201052175,0.974558499000068,4,8,4800
deathstarbench_social_network,1,4,full_r,R,"{""align_probe"": 4800, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 52800, ""native_admissions"": 4800, ""request_evidence"": 4800, ""timestamp_ns"": 1800}",0.00011414799996600777,0.019042705999936516,2.381866132000141,compose_post,0.0,0.5516282229999661,2.9525370610000436,5,17,4800
deathstarbench_social_network,1,4,full_r,R,"{""align_probe"": 4800, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 9600, ""request_evidence"": 4800, ""timestamp_ns"": 1800}",4.6646999976474035e-05,0.009105472999976882,0.4711700009903552,read_home_timeline,0.0,0.10273603800965248,0.5830115119999846,1,4,4800
deathstarbench_social_network,1,4,full_r,R,"{""align_probe"": 4800, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 9600, ""native_admissions"": 4800, ""request_evidence"": 4800, ""timestamp_ns"": 1800}",4.527300006884616e-05,0.011892767000063031,0.8237504549936148,read_user_timeline,0.0,0.12850759100626874,0.9641508129999465,4,8,4800
deathstarbench_social_network,1,4,projected_r,R,"{""align_probe"": 4800, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 52800, ""native_admissions"": 4800, ""request_evidence"": 4800, ""timestamp_ns"": 1800}",4.6863999955348845e-05,0.01846740400003455,2.3652085029930277,compose_post,0.00031796200005373976,0.5522731470069857,2.935949054000048,3,2,4800
deathstarbench_social_network,1,4,projected_r,R,"{""align_probe"": 4800, ""declared_probe_layer"": 1, ""full_category_identification"": 1, ""logical_completion"": 9600, ""request_evidence"": 4800, ""timestamp_ns"": 1800}",2.9940999979771732e-05,0.008977557999969576,0.46066440800393593,read_home_timeline,4.9644000000625965e-05,0.09982164999610177,0.5694636160000073,1,2,4800
