application,operation,method,attempts,campaigns,median_absolute_error_pp,p90_absolute_error_pp,planned_campaigns,retained_conditions,standardized_mean
opentelemetry_demo,browse_product,GID,0,0,,,80,0,
opentelemetry_demo,checkout,GID,0,0,,,80,0,
opentelemetry_demo,add_to_cart,Gselected,0,0,,,80,0,
opentelemetry_demo,browse_product,Gselected,0,0,,,80,0,
opentelemetry_demo,checkout,Gselected,0,0,,,80,0,
opentelemetry_demo,add_to_cart,G_without_deadline,0,0,,,80,0,
opentelemetry_demo,browse_product,G_without_deadline,0,0,,,80,0,
opentelemetry_demo,checkout,G_without_deadline,0,0,,,80,0,
opentelemetry_demo,add_to_cart,G_without_selection,0,0,,,80,0,
opentelemetry_demo,browse_product,G_without_selection,0,0,,,80,0,
opentelemetry_demo,checkout,G_without_selection,0,0,,,80,0,
opentelemetry_demo,add_to_cart,G_without_completion,0,0,,,80,0,
opentelemetry_demo,browse_product,G_without_completion,0,0,,,80,0,
opentelemetry_demo,checkout,G_without_completion,0,0,,,80,0,
opentelemetry_demo,add_to_cart,G0,0,0,,,80,0,
opentelemetry_demo,browse_product,G0,0,0,,,80,0,
opentelemetry_demo,checkout,G0,0,0,,,80,0,
opentelemetry_demo,add_to_cart,B0,0,0,,,80,0,
opentelemetry_demo,browse_product,B0,0,0,,,80,0,
opentelemetry_demo,checkout,B0,0,0,,,80,0,
opentelemetry_demo,add_to_cart,PMX,0,0,,,80,0,
opentelemetry_demo,browse_product,PMX,0,0,,,80,0,
opentelemetry_demo,checkout,PMX,0,0,,,80,0,
opentelemetry_demo,add_to_cart,PMX_inclusive,0,0,,,80,0,
opentelemetry_demo,browse_product,PMX_inclusive,0,0,,,80,0,
opentelemetry_demo,checkout,PMX_inclusive,0,0,,,80,0,
spring_petclinic_microservices,create_visit,Gstar,0,0,,,80,0,
spring_petclinic_microservices,list_owners,Gstar,0,0,,,80,0,
spring_petclinic_microservices,list_vets,Gstar,0,0,,,80,0,
spring_petclinic_microservices,owner_details_with_visits,Gstar,0,0,,,80,0,
spring_petclinic_microservices,create_visit,GID,0,0,,,80,0,
spring_petclinic_microservices,list_owners,GID,0,0,,,80,0,
spring_petclinic_microservices,list_vets,GID,0,0,,,80,0,
spring_petclinic_microservices,owner_details_with_visits,GID,0,0,,,80,0,
spring_petclinic_microservices,create_visit,Gselected,0,0,,,80,0,
spring_petclinic_microservices,list_owners,Gselected,0,0,,,80,0,
spring_petclinic_microservices,list_vets,Gselected,0,0,,,80,0,
spring_petclinic_microservices,owner_details_with_visits,Gselected,0,0,,,80,0,
spring_petclinic_microservices,create_visit,G_without_deadline,0,0,,,80,0,
spring_petclinic_microservices,list_owners,G_without_deadline,0,0,,,80,0,
spring_petclinic_microservices,list_vets,G_without_deadline,0,0,,,80,0,
spring_petclinic_microservices,owner_details_with_visits,G_without_deadline,0,0,,,80,0,
spring_petclinic_microservices,create_visit,G_without_selection,0,0,,,80,0,
spring_petclinic_microservices,list_owners,G_without_selection,0,0,,,80,0,
spring_petclinic_microservices,list_vets,G_without_selection,0,0,,,80,0,
spring_petclinic_microservices,owner_details_with_visits,G_without_selection,0,0,,,80,0,
spring_petclinic_microservices,create_visit,G_without_completion,0,0,,,80,0,
