profile,case_id,functional,lower_exact,upper_exact,status,model_sha256
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r1--compose_post,without_completion,1127/1200,1127/1200,singleton_given_empirical_observation_law,5e3150a7d724d176385db0bd5c7976ccf8f1b61f276cdc46ee01037fb0e611ac
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r1--compose_post,without_completion_minus_execution,0,0,singleton_given_empirical_observation_law,5e3150a7d724d176385db0bd5c7976ccf8f1b61f276cdc46ee01037fb0e611ac
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r1--compose_post,without_deadline,1,1,singleton_given_empirical_observation_law,5e3150a7d724d176385db0bd5c7976ccf8f1b61f276cdc46ee01037fb0e611ac
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r1--compose_post,without_deadline_minus_execution,73/1200,73/1200,singleton_given_empirical_observation_law,5e3150a7d724d176385db0bd5c7976ccf8f1b61f276cdc46ee01037fb0e611ac
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r1--compose_post,without_selection,1127/1200,1127/1200,singleton_given_empirical_observation_law,5e3150a7d724d176385db0bd5c7976ccf8f1b61f276cdc46ee01037fb0e611ac
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r1--compose_post,without_selection_minus_execution,0,0,singleton_given_empirical_observation_law,5e3150a7d724d176385db0bd5c7976ccf8f1b61f276cdc46ee01037fb0e611ac
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r1--read_home_timeline,execution,1,1,singleton_given_empirical_observation_law,8311194ad24b681a03d8ea22b1c49ee43c4e2a3bfca0b069caadfedfc546cf74
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r1--read_home_timeline,reachability,1,1,singleton_given_empirical_observation_law,8311194ad24b681a03d8ea22b1c49ee43c4e2a3bfca0b069caadfedfc546cf74
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r1--read_home_timeline,reachability_minus_execution,0,0,singleton_given_empirical_observation_law,8311194ad24b681a03d8ea22b1c49ee43c4e2a3bfca0b069caadfedfc546cf74
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r1--read_home_timeline,selected,1,1,singleton_given_empirical_observation_law,8311194ad24b681a03d8ea22b1c49ee43c4e2a3bfca0b069caadfedfc546cf74
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r1--read_home_timeline,selected_minus_execution,0,0,singleton_given_empirical_observation_law,8311194ad24b681a03d8ea22b1c49ee43c4e2a3bfca0b069caadfedfc546cf74
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r1--read_home_timeline,without_completion,1,1,singleton_given_empirical_observation_law,8311194ad24b681a03d8ea22b1c49ee43c4e2a3bfca0b069caadfedfc546cf74
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r1--read_home_timeline,without_completion_minus_execution,0,0,singleton_given_empirical_observation_law,8311194ad24b681a03d8ea22b1c49ee43c4e2a3bfca0b069caadfedfc546cf74
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r1--read_home_timeline,without_deadline,1,1,singleton_given_empirical_observation_law,8311194ad24b681a03d8ea22b1c49ee43c4e2a3bfca0b069caadfedfc546cf74
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r1--read_home_timeline,without_deadline_minus_execution,0,0,singleton_given_empirical_observation_law,8311194ad24b681a03d8ea22b1c49ee43c4e2a3bfca0b069caadfedfc546cf74
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r1--read_home_timeline,without_selection,1,1,singleton_given_empirical_observation_law,8311194ad24b681a03d8ea22b1c49ee43c4e2a3bfca0b069caadfedfc546cf74
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r1--read_home_timeline,without_selection_minus_execution,0,0,singleton_given_empirical_observation_law,8311194ad24b681a03d8ea22b1c49ee43c4e2a3bfca0b069caadfedfc546cf74
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r1--read_user_timeline,execution,1067/1200,1067/1200,singleton_given_empirical_observation_law,c1a5b80d6860db5d5927331e1aed508fe3348a5b02b4f986bf23324b8597d4a8
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r1--read_user_timeline,reachability,1,1,singleton_given_empirical_observation_law,c1a5b80d6860db5d5927331e1aed508fe3348a5b02b4f986bf23324b8597d4a8
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r1--read_user_timeline,reachability_minus_execution,133/1200,133/1200,singleton_given_empirical_observation_law,c1a5b80d6860db5d5927331e1aed508fe3348a5b02b4f986bf23324b8597d4a8
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r1--read_user_timeline,selected,1,1,singleton_given_empirical_observation_law,c1a5b80d6860db5d5927331e1aed508fe3348a5b02b4f986bf23324b8597d4a8
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r1--read_user_timeline,selected_minus_execution,133/1200,133/1200,singleton_given_empirical_observation_law,c1a5b80d6860db5d5927331e1aed508fe3348a5b02b4f986bf23324b8597d4a8
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r1--read_user_timeline,without_completion,1067/1200,1067/1200,singleton_given_empirical_observation_law,c1a5b80d6860db5d5927331e1aed508fe3348a5b02b4f986bf23324b8597d4a8
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r1--read_user_timeline,without_completion_minus_execution,0,0,singleton_given_empirical_observation_law,c1a5b80d6860db5d5927331e1aed508fe3348a5b02b4f986bf23324b8597d4a8
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r1--read_user_timeline,without_deadline,1,1,singleton_given_empirical_observation_law,c1a5b80d6860db5d5927331e1aed508fe3348a5b02b4f986bf23324b8597d4a8
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r1--read_user_timeline,without_deadline_minus_execution,133/1200,133/1200,singleton_given_empirical_observation_law,c1a5b80d6860db5d5927331e1aed508fe3348a5b02b4f986bf23324b8597d4a8
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r1--read_user_timeline,without_selection,1067/1200,1067/1200,singleton_given_empirical_observation_law,c1a5b80d6860db5d5927331e1aed508fe3348a5b02b4f986bf23324b8597d4a8
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r1--read_user_timeline,without_selection_minus_execution,0,0,singleton_given_empirical_observation_law,c1a5b80d6860db5d5927331e1aed508fe3348a5b02b4f986bf23324b8597d4a8
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r2--compose_post,execution,47/50,47/50,singleton_given_empirical_observation_law,8c8bd637a50182f280b987468c93ccd0a564ef8b0bf01bd76319a10d7fc815e9
