profile,case_id,method,execution_status,cold_ratio_specialized_over_bdd_median,cold_ratio_min,cold_ratio_max,warm_ratio_specialized_over_bdd_median,warm_ratio_min,warm_ratio_max,specialized_cold_median_ms,bdd_cold_median_ms,specialized_warm_median_ms,bdd_warm_median_ms
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r2--list_owners,sift_once,singleton_given_empirical_observation_law,0.037446973423054634,0.0355724087482188,0.0391071288261431,1.2528862198355089,1.211079909350675,1.256496213732664,0.217216,5.800629,0.147676,0.118061
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r2--list_vets,controls_first,singleton_given_empirical_observation_law,0.047104798766936726,0.04164399969205524,0.053070627903397366,1.2236225521629753,1.1318058692496953,1.2349759041375419,0.195816,4.702142,0.145823,0.121638
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r2--list_vets,structural,singleton_given_empirical_observation_law,0.04119784627347749,0.04012529000513498,0.04742547598278521,1.1628257471850978,1.1296294825463644,1.2718129694349263,0.195816,4.704792,0.145823,0.125404
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r2--list_vets,sift_once,singleton_given_empirical_observation_law,0.03443688251035968,0.032582609166064216,0.03939553967918502,1.2024416432055867,1.1856492397755916,1.269751490799273,0.195816,5.686229,0.145823,0.118281
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r2--owner_details_with_visits,controls_first,singleton_given_empirical_observation_law,0.3735829968371487,0.3685898992766499,0.4043617095605244,1.181472525932156,1.1442431461718616,1.1930290847631713,2.604101,6.884319,2.490348,2.111664
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r2--owner_details_with_visits,structural,singleton_given_empirical_observation_law,0.3766828746847537,0.36347971448211197,0.4057661470585706,1.1543823184971074,1.1301404976586777,1.1830828541092133,2.604101,6.913245,2.490348,2.161219
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r2--owner_details_with_visits,sift_once,singleton_given_empirical_observation_law,0.32611622536862916,0.3128629029420838,0.34079550188696617,1.1625467546985355,1.1512216499277466,1.1712007019216435,2.604101,8.100823,2.490348,2.146041
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r3--create_visit,controls_first,singleton_given_empirical_observation_law,0.3808932810452071,0.3758138862866278,0.38718285556860527,1.2002911415675872,1.1680611918413948,1.2018387240326645,2.633204,6.8967,2.544045,2.132296
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r3--create_visit,structural,singleton_given_empirical_observation_law,0.3801112558491891,0.37181367297189455,0.3855204116400344,1.2051282415670939,1.1979223224512496,1.210156063083416,2.633204,6.927456,2.544045,2.114914
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r3--create_visit,sift_once,singleton_given_empirical_observation_law,0.32511123671721615,0.3198587811194125,0.33072058828811346,1.1754264945104302,1.1745873832701577,1.1831727350479424,2.633204,8.074139,2.544045,2.160116
