profile,case_id,method,round,status,execution_status,cold_ms,cold_cpu_ms,warm_1_ms,warm_2_ms,warm_3_ms,warm_median_ms,warm_cpu_median_ms,build_ms,reorder_ms,evaluated_states,cudd_execution_nodes,cudd_manager_bytes,witnesses_verified_first_query,category_extrema_sha256,exact_estimates_sha256
spring_petclinic_microservices,spring_petclinic_microservices--split--N--r1--create_visit,specialized,0,qualified,singleton_given_empirical_observation_law,1.403935,1.4077,1.434553,1.330348,1.340116,1.340116,1.342418,0.0,0.0,21,,,12,dedf92486f35aa572ab82430af608df1d85c0c96b8df82da884acd9ecd718b00,4c01f176eacb2c9b6a03d15c475ad2d169563cefd9aaa6b7ec590b30f1e9a65b
spring_petclinic_microservices,spring_petclinic_microservices--split--N--r1--list_owners,specialized,0,qualified,singleton_given_empirical_observation_law,0.198902,0.202579,0.161161,0.147997,0.162284,0.161161,0.162794,0.0,0.0,1,,,0,3309a52ef6771864cea0f54bd311c4d0d49280cdf8dccd073fc207e30f3ef04b,31acd8c59eeb6cec7faedbddaaffa41167d57a81c2b6ce5af31fd2d59cca3b74
spring_petclinic_microservices,spring_petclinic_microservices--split--N--r1--list_vets,specialized,0,qualified,singleton_given_empirical_observation_law,0.187951,0.190957,0.156243,0.172442,0.145753,0.156243,0.157875,0.0,0.0,1,,,0,3309a52ef6771864cea0f54bd311c4d0d49280cdf8dccd073fc207e30f3ef04b,31acd8c59eeb6cec7faedbddaaffa41167d57a81c2b6ce5af31fd2d59cca3b74
spring_petclinic_microservices,spring_petclinic_microservices--split--N--r1--owner_details_with_visits,specialized,0,qualified,singleton_given_empirical_observation_law,1.82328,1.827143,1.69475,1.713845,1.660325,1.69475,1.69729,0.0,0.0,29,,,20,0783cac93fc65cee92ed3f4e4cd74ca245096cfa0ba6212d311bf5e6411df05e,73470b9f97c9aebe799d45a9a3f05d72d6a7c4dd87661abbb351dcb84f073962
spring_petclinic_microservices,spring_petclinic_microservices--split--N--r2--create_visit,specialized,0,qualified,singleton_given_empirical_observation_law,2.309889,2.315105,2.106439,2.078988,2.073267,2.078988,2.081339,0.0,0.0,47,,,40,e032241656a34ffa6167e32a84eb931f2af06ee3d56e0f3af3ba5be73e6e4e4a,3dce9ec7a18712f7eaaf4d0331dd43c4656a67fbab4681288ef9c20a19715219
spring_petclinic_microservices,spring_petclinic_microservices--split--N--r2--list_owners,specialized,0,qualified,singleton_given_empirical_observation_law,0.250679,0.255057,0.17672,0.166842,0.163105,0.166842,0.168404,0.0,0.0,1,,,0,3309a52ef6771864cea0f54bd311c4d0d49280cdf8dccd073fc207e30f3ef04b,31acd8c59eeb6cec7faedbddaaffa41167d57a81c2b6ce5af31fd2d59cca3b74
spring_petclinic_microservices,spring_petclinic_microservices--split--N--r2--list_vets,specialized,0,qualified,singleton_given_empirical_observation_law,0.211095,0.214591,0.14983,0.147706,0.147004,0.147706,0.149329,0.0,0.0,1,,,0,3309a52ef6771864cea0f54bd311c4d0d49280cdf8dccd073fc207e30f3ef04b,31acd8c59eeb6cec7faedbddaaffa41167d57a81c2b6ce5af31fd2d59cca3b74
spring_petclinic_microservices,spring_petclinic_microservices--split--N--r2--owner_details_with_visits,specialized,0,qualified,singleton_given_empirical_observation_law,1.720979,1.724412,1.651219,1.64197,1.632804,1.64197,1.644101,0.0,0.0,29,,,20,0783cac93fc65cee92ed3f4e4cd74ca245096cfa0ba6212d311bf5e6411df05e,ce20ac02bd236a04e4f36896261fe436b6e1dfb7525f7f1a608b04c093260382
spring_petclinic_microservices,spring_petclinic_microservices--split--N--r3--create_visit,specialized,0,qualified,singleton_given_empirical_observation_law,1.822599,1.826472,1.77034,1.748049,1.751185,1.751185,1.753576,0.0,0.0,37,,,28,4666cbee0fc6ec921f89a736741f89321cc288962e288bf9111970b8ec2f1489,45802bb7ff8ffc12f555b14e1f27c7b4cadd06429f77545a76c267751c9aafc9
spring_petclinic_microservices,spring_petclinic_microservices--split--N--r3--list_owners,specialized,0,qualified,singleton_given_empirical_observation_law,0.217357,0.220351,0.159047,0.148147,0.159689,0.159047,0.16068,0.0,0.0,1,,,0,3309a52ef6771864cea0f54bd311c4d0d49280cdf8dccd073fc207e30f3ef04b,31acd8c59eeb6cec7faedbddaaffa41167d57a81c2b6ce5af31fd2d59cca3b74
