campaign_id,job_role,attempt_id,model_id,variant,extraction_status,status,repetition,load_solve_elapsed_nanoseconds,evaluated_physical_states,total_physical_states
v3-main-771601/deathstarbench_social_network/colocated/N/5,pmx,1,campaign-94fc6c95d8dce2bb4cf4--read_home_timeline--inclusive,inclusive,prepared,solved,1,33039168,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/5,pmx,1,campaign-94fc6c95d8dce2bb4cf4--read_user_timeline--conditional_local,conditional_local,prepared,solved,0,59023702,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/5,pmx,1,campaign-94fc6c95d8dce2bb4cf4--read_user_timeline--conditional_local,conditional_local,prepared,solved,1,50730500,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/5,pmx,1,campaign-94fc6c95d8dce2bb4cf4--read_user_timeline--inclusive,inclusive,prepared,solved,0,53111785,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/5,pmx,1,campaign-94fc6c95d8dce2bb4cf4--read_user_timeline--inclusive,inclusive,prepared,solved,1,50290900,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/6,pmx,1,campaign-69751cffccd29dbfbb25--compose_post--conditional_local,conditional_local,prepared,solved,0,163619828,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/6,pmx,1,campaign-69751cffccd29dbfbb25--compose_post--conditional_local,conditional_local,prepared,solved,1,159368540,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/6,pmx,1,campaign-69751cffccd29dbfbb25--compose_post--inclusive,inclusive,prepared,solved,0,173338793,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/6,pmx,1,campaign-69751cffccd29dbfbb25--compose_post--inclusive,inclusive,prepared,solved,1,163520617,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/6,pmx,1,campaign-69751cffccd29dbfbb25--read_home_timeline--conditional_local,conditional_local,prepared,solved,0,34940233,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/6,pmx,1,campaign-69751cffccd29dbfbb25--read_home_timeline--conditional_local,conditional_local,prepared,solved,1,32395069,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/6,pmx,1,campaign-69751cffccd29dbfbb25--read_home_timeline--inclusive,inclusive,prepared,solved,0,35175102,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/6,pmx,1,campaign-69751cffccd29dbfbb25--read_home_timeline--inclusive,inclusive,prepared,solved,1,33573132,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/6,pmx,1,campaign-69751cffccd29dbfbb25--read_user_timeline--conditional_local,conditional_local,prepared,solved,0,52185039,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/6,pmx,1,campaign-69751cffccd29dbfbb25--read_user_timeline--conditional_local,conditional_local,prepared,solved,1,51594395,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/6,pmx,1,campaign-69751cffccd29dbfbb25--read_user_timeline--inclusive,inclusive,prepared,solved,0,52045338,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/6,pmx,1,campaign-69751cffccd29dbfbb25--read_user_timeline--inclusive,inclusive,prepared,solved,1,50810481,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/7,pmx,1,campaign-9be7ffa2c31b83a78d5d--compose_post--conditional_local,conditional_local,prepared,solved,0,156289087,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/7,pmx,1,campaign-9be7ffa2c31b83a78d5d--compose_post--conditional_local,conditional_local,prepared,solved,1,162478671,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/7,pmx,1,campaign-9be7ffa2c31b83a78d5d--compose_post--inclusive,inclusive,prepared,solved,0,156722664,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/7,pmx,1,campaign-9be7ffa2c31b83a78d5d--compose_post--inclusive,inclusive,prepared,solved,1,162263690,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/7,pmx,1,campaign-9be7ffa2c31b83a78d5d--read_home_timeline--conditional_local,conditional_local,prepared,solved,0,35183987,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/7,pmx,1,campaign-9be7ffa2c31b83a78d5d--read_home_timeline--conditional_local,conditional_local,prepared,solved,1,32503758,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/7,pmx,1,campaign-9be7ffa2c31b83a78d5d--read_home_timeline--inclusive,inclusive,prepared,solved,0,34664886,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/7,pmx,1,campaign-9be7ffa2c31b83a78d5d--read_home_timeline--inclusive,inclusive,prepared,solved,1,35969703,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/7,pmx,1,campaign-9be7ffa2c31b83a78d5d--read_user_timeline--conditional_local,conditional_local,prepared,solved,0,52034183,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/7,pmx,1,campaign-9be7ffa2c31b83a78d5d--read_user_timeline--conditional_local,conditional_local,prepared,solved,1,54471059,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/7,pmx,1,campaign-9be7ffa2c31b83a78d5d--read_user_timeline--inclusive,inclusive,prepared,solved,0,50027373,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/7,pmx,1,campaign-9be7ffa2c31b83a78d5d--read_user_timeline--inclusive,inclusive,prepared,solved,1,50507875,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/8,pmx,1,campaign-3f1287793d9f9d3d9753--compose_post--conditional_local,conditional_local,prepared,solved,0,164993627,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/8,pmx,1,campaign-3f1287793d9f9d3d9753--compose_post--conditional_local,conditional_local,prepared,solved,1,156334450,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/8,pmx,1,campaign-3f1287793d9f9d3d9753--compose_post--inclusive,inclusive,prepared,solved,0,176007690,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/8,pmx,1,campaign-3f1287793d9f9d3d9753--compose_post--inclusive,inclusive,prepared,solved,1,168132680,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/8,pmx,1,campaign-3f1287793d9f9d3d9753--read_home_timeline--conditional_local,conditional_local,prepared,solved,0,35717476,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/8,pmx,1,campaign-3f1287793d9f9d3d9753--read_home_timeline--conditional_local,conditional_local,prepared,solved,1,33783459,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/8,pmx,1,campaign-3f1287793d9f9d3d9753--read_home_timeline--inclusive,inclusive,prepared,solved,0,35464864,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/8,pmx,1,campaign-3f1287793d9f9d3d9753--read_home_timeline--inclusive,inclusive,prepared,solved,1,38938647,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/8,pmx,1,campaign-3f1287793d9f9d3d9753--read_user_timeline--conditional_local,conditional_local,prepared,solved,0,54059909,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/8,pmx,1,campaign-3f1287793d9f9d3d9753--read_user_timeline--conditional_local,conditional_local,prepared,solved,1,50647863,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/8,pmx,1,campaign-3f1287793d9f9d3d9753--read_user_timeline--inclusive,inclusive,prepared,solved,0,54607342,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/8,pmx,1,campaign-3f1287793d9f9d3d9753--read_user_timeline--inclusive,inclusive,prepared,solved,1,50201629,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/9,pmx,1,campaign-7d5c6173fab1822a3ae3--compose_post--conditional_local,conditional_local,prepared,solved,0,161852592,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/9,pmx,1,campaign-7d5c6173fab1822a3ae3--compose_post--conditional_local,conditional_local,prepared,solved,1,157173169,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/9,pmx,1,campaign-7d5c6173fab1822a3ae3--compose_post--inclusive,inclusive,prepared,solved,0,162030426,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/9,pmx,1,campaign-7d5c6173fab1822a3ae3--compose_post--inclusive,inclusive,prepared,solved,1,165346765,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/9,pmx,1,campaign-7d5c6173fab1822a3ae3--read_home_timeline--conditional_local,conditional_local,prepared,solved,0,34868455,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/9,pmx,1,campaign-7d5c6173fab1822a3ae3--read_home_timeline--conditional_local,conditional_local,prepared,solved,1,38741209,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/9,pmx,1,campaign-7d5c6173fab1822a3ae3--read_home_timeline--inclusive,inclusive,prepared,solved,0,34087183,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/9,pmx,1,campaign-7d5c6173fab1822a3ae3--read_home_timeline--inclusive,inclusive,prepared,solved,1,33133304,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/9,pmx,1,campaign-7d5c6173fab1822a3ae3--read_user_timeline--conditional_local,conditional_local,prepared,solved,0,51481936,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/9,pmx,1,campaign-7d5c6173fab1822a3ae3--read_user_timeline--conditional_local,conditional_local,prepared,solved,1,50485354,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/9,pmx,1,campaign-7d5c6173fab1822a3ae3--read_user_timeline--inclusive,inclusive,prepared,solved,0,55681370,1,1
v3-main-771601/deathstarbench_social_network/colocated/N/9,pmx,1,campaign-7d5c6173fab1822a3ae3--read_user_timeline--inclusive,inclusive,prepared,solved,1,51242046,1,1
v3-main-771601/deathstarbench_social_network/colocated/NC/0,pmx,1,campaign-23d1cbbf30c58d1ab272--compose_post--conditional_local,conditional_local,prepared,solved,0,203511835,1,1
v3-main-771601/deathstarbench_social_network/colocated/NC/0,pmx,1,campaign-23d1cbbf30c58d1ab272--compose_post--conditional_local,conditional_local,prepared,solved,1,158547561,1,1
v3-main-771601/deathstarbench_social_network/colocated/NC/0,pmx,1,campaign-23d1cbbf30c58d1ab272--compose_post--inclusive,inclusive,prepared,solved,0,165821241,1,1
v3-main-771601/deathstarbench_social_network/colocated/NC/0,pmx,1,campaign-23d1cbbf30c58d1ab272--compose_post--inclusive,inclusive,prepared,solved,1,159586894,1,1
v3-main-771601/deathstarbench_social_network/colocated/NC/0,pmx,1,campaign-23d1cbbf30c58d1ab272--read_home_timeline--conditional_local,conditional_local,prepared,solved,0,43236991,1,1
v3-main-771601/deathstarbench_social_network/colocated/NC/0,pmx,1,campaign-23d1cbbf30c58d1ab272--read_home_timeline--conditional_local,conditional_local,prepared,solved,1,34312511,1,1
v3-main-771601/deathstarbench_social_network/colocated/NC/0,pmx,1,campaign-23d1cbbf30c58d1ab272--read_home_timeline--inclusive,inclusive,prepared,solved,0,37248669,1,1
v3-main-771601/deathstarbench_social_network/colocated/NC/0,pmx,1,campaign-23d1cbbf30c58d1ab272--read_home_timeline--inclusive,inclusive,prepared,solved,1,34212685,1,1
v3-main-771601/deathstarbench_social_network/colocated/NC/0,pmx,1,campaign-23d1cbbf30c58d1ab272--read_user_timeline--conditional_local,conditional_local,prepared,solved,0,57331092,1,1
v3-main-771601/deathstarbench_social_network/colocated/NC/0,pmx,1,campaign-23d1cbbf30c58d1ab272--read_user_timeline--conditional_local,conditional_local,prepared,solved,1,53973027,1,1
v3-main-771601/deathstarbench_social_network/colocated/NC/0,pmx,1,campaign-23d1cbbf30c58d1ab272--read_user_timeline--inclusive,inclusive,prepared,solved,0,57263907,1,1
v3-main-771601/deathstarbench_social_network/colocated/NC/0,pmx,1,campaign-23d1cbbf30c58d1ab272--read_user_timeline--inclusive,inclusive,prepared,solved,1,63038405,1,1
