campaign_id,job_role,attempt_id,input_bytes,native_bytes,ordinary_role_bytes,pmx_role_bytes,input_loading_seconds,combined_process_seconds,acquisition_process_seconds,shared_native_extraction_seconds,manual_integration_seconds,manual_reason,update_seconds,update_reason
v3-main-771601/deathstarbench_social_network/colocated/ND/8,graph,1,36779924,,,,0.43650381000000493,1.4522789640000013,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/colocated/ND/8,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/colocated/ND/9,acquisition,1,,59152769,36795197,36553945,,,2059.795275987,2.1469414030002554,,,,
v3-main-771601/deathstarbench_social_network/colocated/ND/9,graph,1,36794681,,,,0.4338467740000027,1.3911510329999999,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/colocated/ND/9,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/colocated/NCD/0,acquisition,1,,56475167,36339731,36097649,,,2058.9986895909997,1.9252377590000833,,,,
v3-main-771601/deathstarbench_social_network/colocated/NCD/0,graph,1,36339215,,,,0.31932038699999765,0.5229568919999963,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/colocated/NCD/0,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/colocated/NCD/1,acquisition,1,,55331704,35358409,35116451,,,2059.469276539,2.146159045999866,,,,
v3-main-771601/deathstarbench_social_network/colocated/NCD/1,graph,1,35357893,,,,0.4165079250000048,1.3433092860000073,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/colocated/NCD/1,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/colocated/NCD/2,acquisition,1,,55223461,34317872,34075771,,,2058.705568625,1.897599796999657,,,,
v3-main-771601/deathstarbench_social_network/colocated/NCD/2,graph,1,34317356,,,,0.3980289230000267,1.2342935920000286,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/colocated/NCD/2,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/colocated/NCD/3,acquisition,1,,55081595,34978305,34736321,,,2059.060038087,1.9784198879997348,,,,
v3-main-771601/deathstarbench_social_network/colocated/NCD/3,graph,1,34977789,,,,0.43524759100000665,1.3512419260000001,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/colocated/NCD/3,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/colocated/NCD/4,acquisition,1,,58105815,35364143,35121818,,,2058.701311855,1.877774486999897,,,,
v3-main-771601/deathstarbench_social_network/colocated/NCD/4,graph,1,35363627,,,,0.41287153199999693,0.9501421269999923,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/colocated/NCD/4,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/colocated/NCD/5,acquisition,1,,57826687,35884788,35642432,,,2059.648573936,2.1713455090002753,,,,
v3-main-771601/deathstarbench_social_network/colocated/NCD/5,graph,1,35884272,,,,0.343537714,0.8411088759999998,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/colocated/NCD/5,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/colocated/NCD/6,acquisition,1,,55812633,34313107,34070940,,,2059.131046588,1.9959850539999024,,,,
v3-main-771601/deathstarbench_social_network/colocated/NCD/6,graph,1,34312591,,,,0.39384087099998055,0.7889071969999861,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/colocated/NCD/6,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/colocated/NCD/7,acquisition,1,,54517256,34213927,33971523,,,2057.1945283500004,1.4599645009998312,,,,
v3-main-771601/deathstarbench_social_network/colocated/NCD/7,graph,1,34213411,,,,0.33478966999999926,0.9847687720000025,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/colocated/NCD/7,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/colocated/NCD/8,acquisition,1,,58250695,36386707,36144158,,,2060.017025085,2.0984309239997856,,,,
v3-main-771601/deathstarbench_social_network/colocated/NCD/8,graph,1,36386191,,,,0.3259430859999952,1.0106619849999987,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/colocated/NCD/8,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/colocated/NCD/9,acquisition,1,,56221586,35289816,35047040,,,2057.651776855,1.5507404410000163,,,,
v3-main-771601/deathstarbench_social_network/colocated/NCD/9,graph,1,35289300,,,,0.3711717279999789,0.7828087759999676,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/colocated/NCD/9,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/split/N/0,acquisition,1,,59160678,36752166,36510416,,,2058.67514584,1.8487513570003102,,,,
v3-main-771601/deathstarbench_social_network/split/N/0,graph,1,36751650,,,,0.4438738659999899,1.4922225010000005,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/split/N/0,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/split/N/1,acquisition,1,,59164165,36745018,36503310,,,2059.407163053,1.9455800780001482,,,,
v3-main-771601/deathstarbench_social_network/split/N/1,graph,1,36744502,,,,0.43586661900002355,1.4010831140000164,,,,historical development labor was not timed,,not measured; fresh reconstruction is the reported application path
v3-main-771601/deathstarbench_social_network/split/N/1,pmx,1,,,,,,,,,,,,
v3-main-771601/deathstarbench_social_network/split/N/2,acquisition,1,,59152394,36757008,36515733,,,2059.581971647,2.0689312039999095,,,,
