campaign_id,job_role,attempt_id,scope,rss_scope,maximum_rss_bytes,path,system_seconds,user_seconds,wall_seconds,profile,run_id,shared_once_across_this_application
v3-main-771601/deathstarbench_social_network/colocated/N/5,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",54812672.0,start-resource-usage.txt,0.03,0.16,9.27,,,
v3-main-771601/deathstarbench_social_network/colocated/N/5,graph,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",219111424.0,build-resource-usage.txt,0.14,3.12,3.47,,,
v3-main-771601/deathstarbench_social_network/colocated/N/5,graph,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",109502464.0,replay-resource-usage.txt,0.07,1.48,0.92,,,
v3-main-771601/deathstarbench_social_network/colocated/N/6,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",628113408.0,acquisition-resource-usage.txt,94.24,201.9,2072.22,,,
v3-main-771601/deathstarbench_social_network/colocated/N/6,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",51896320.0,logs/compose-down.log.resource-usage.txt,0.03,0.09,11.02,,,
v3-main-771601/deathstarbench_social_network/colocated/N/6,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",54718464.0,logs/services.log.resource-usage.txt,0.04,0.12,0.13,,,
v3-main-771601/deathstarbench_social_network/colocated/N/6,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",51949568.0,pull-resource-usage.txt,0.07,0.13,18.69,,,
v3-main-771601/deathstarbench_social_network/colocated/N/6,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",55271424.0,start-resource-usage.txt,0.04,0.13,8.24,,,
v3-main-771601/deathstarbench_social_network/colocated/N/6,graph,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",222248960.0,build-resource-usage.txt,0.15,3.15,3.02,,,
v3-main-771601/deathstarbench_social_network/colocated/N/6,graph,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",109035520.0,replay-resource-usage.txt,0.08,1.5,0.93,,,
v3-main-771601/deathstarbench_social_network/colocated/N/7,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",628846592.0,acquisition-resource-usage.txt,99.12,210.34,2072.93,,,
v3-main-771601/deathstarbench_social_network/colocated/N/7,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",52260864.0,logs/compose-down.log.resource-usage.txt,0.03,0.09,11.01,,,
v3-main-771601/deathstarbench_social_network/colocated/N/7,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",53960704.0,logs/services.log.resource-usage.txt,0.05,0.11,0.12,,,
v3-main-771601/deathstarbench_social_network/colocated/N/7,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",51945472.0,pull-resource-usage.txt,0.08,0.14,19.28,,,
