profile,case_id,method,representation,round,phase,status,total_ms,kernel_ms,cpu_ms,conversion_ms,key_check_ms,construction_ms,update_ms,query_including_update_ms,inference_ms,reconstructed,error
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,cudd_sift,original,0,counts,qualified,0.546268,0.540738,0.548243,0.00553,0.059131,0.0,0.0,0.480465,0.480465,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,cudd_sift,original,0,masks,qualified,0.59964,0.598858,0.601883,0.000782,0.058741,0.0,0.0,0.538895,0.538895,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,cudd_sift,original,0,metadata,qualified,0.565835,0.565094,0.56791,0.000741,0.064912,0.0,0.0,0.498969,0.498969,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,cudd_sift,original,0,structure,qualified,0.959467,0.958855,0.961454,0.000612,0.062929,0.387239,0.0,0.507315,0.507315,True,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,cudd_sift,original,0,restore,qualified,0.932125,0.931354,0.934063,0.000771,0.062587,0.391698,0.0,0.475615,0.475615,True,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,cudd_sift,completion_projected,0,initial,qualified,4.435803,4.038324,4.44239,0.397479,0.083738,3.432484,0.0,0.52005,0.52005,True,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,cudd_sift,completion_projected,0,repeat,qualified,0.848799,0.527855,0.851078,0.320944,0.067697,0.0,0.0,0.458713,0.458713,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,cudd_sift,completion_projected,0,counts,qualified,0.836004,0.518626,0.838315,0.317378,0.090931,0.0,0.0,0.426193,0.426193,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,cudd_sift,completion_projected,0,masks,qualified,0.815736,0.471718,0.818047,0.344018,0.057849,0.0,0.0,0.412557,0.412557,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,cudd_sift,completion_projected,0,metadata,qualified,0.78645,0.470575,0.788582,0.315875,0.061886,0.0,0.0,0.407367,0.407367,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,cudd_sift,completion_projected,0,structure,qualified,1.077108,0.72209,1.079114,0.355018,0.060855,0.227248,0.0,0.432384,0.432384,True,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,cudd_sift,completion_projected,0,restore,qualified,1.054837,0.715198,1.056942,0.339639,0.059753,0.230565,0.0,0.423367,0.423367,True,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,agrum_conditioned,original,0,initial,qualified,18.311443,18.310552,18.31629,0.000891,0.088636,8.466865,0.002765,9.752606,9.749841,True,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,agrum_conditioned,original,0,repeat,qualified,8.858041,8.85231,8.860615,0.005731,0.070914,0.0,0.002545,8.779703,8.777158,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,agrum_conditioned,original,0,counts,qualified,8.958641,8.95262,8.961002,0.006021,0.070402,0.0,0.002324,8.880664,8.87834,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,agrum_conditioned,original,0,masks,qualified,12.232576,12.231765,12.225595,0.000811,0.071444,0.0,2.764386,12.158827,9.394441,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,agrum_conditioned,original,0,metadata,qualified,8.774644,8.773803,8.776889,0.000841,0.072386,0.0,0.002214,8.699873,8.697659,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,agrum_conditioned,original,0,structure,qualified,18.050792,18.05006,18.053149,0.000732,0.07425,8.587471,0.002024,9.386396,9.384372,True,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,agrum_conditioned,original,0,restore,qualified,18.079767,18.078876,18.081923,0.000891,0.066555,8.605184,0.001924,9.405191,9.403267,True,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,agrum_conditioned,completion_projected,0,initial,qualified,13.754953,13.425122,13.760108,0.329831,0.080291,4.615602,0.002656,8.726674,8.724018,True,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,agrum_conditioned,completion_projected,0,repeat,qualified,8.220009,7.899796,8.222875,0.320213,0.062577,0.0,0.002304,7.835445,7.833141,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,agrum_conditioned,completion_projected,0,counts,qualified,8.168993,7.848029,8.171599,0.320964,0.061787,0.0,0.002004,7.78447,7.782466,False,
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,agrum_conditioned,completion_projected,0,masks,qualified,9.723971,9.341942,9.716502,0.382029,0.061616,0.0,1.071498,9.278392,8.206894,False,
