profile,case_id,phase,representation,method,baseline,paired_rounds,other_over_ours,kernel_other_over_ours,min_ratio,max_ratio
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,repeat,completion_projected,storm_compact,ours_prepared,3,1.7881909143722639,2.374367825407012,1.7859742811761832,1.9247279575165104
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,counts,original,ours_direct,ours_prepared,3,3.716200873721709,3.76427147460411,3.3481754610497747,3.746583324050828
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,counts,original,ours_prepared,ours_direct,3,0.269092020044255,0.26565565388855766,0.2669098518590517,0.29867012993592146
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,counts,original,cudd_fixed,ours_direct,3,0.30234532678486686,0.3003288517035413,0.2893648556953114,0.30489894864218087
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,counts,original,cudd_fixed,ours_prepared,3,1.0753379295592724,1.0816083018836382,1.0208551779436255,1.1327619594368803
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,counts,original,cudd_sift,ours_direct,3,0.30664661722917536,0.30436449753620337,0.30233971403618104,0.3066582157370356
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,counts,original,cudd_sift,ours_prepared,3,1.1235551094620277,1.12996978321652,1.0267455128600507,1.1488771024874258
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,counts,original,agrum_conditioned,ours_direct,3,5.151662940749338,5.164449943470547,4.958285966032803,5.261920099568991
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,counts,original,agrum_conditioned,ours_prepared,3,18.42598663913319,18.708117573797075,17.617831755381484,19.30113446494212
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,counts,original,agrum_joint,ours_direct,3,1.3462130004974242,1.3473105345546679,1.323494771424871,1.3756962086527618
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,counts,original,agrum_joint,ours_prepared,3,4.918372425935219,4.984016032030627,4.606072287670388,5.043699178284079
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,counts,original,storm_sparse,ours_direct,3,1.7873997289895427,1.7896106265046556,1.7278534117186055,1.8026040146521158
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,counts,original,storm_sparse,ours_prepared,3,6.421050358291717,6.51246494560561,6.0354345278480235,6.69664201804519
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,counts,original,storm_compact,ours_direct,3,0.6948471780630446,0.6939631351574226,0.6702787577166729,0.7208197780458659
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,counts,original,storm_compact,ours_prepared,3,2.4908905050638013,2.518692194206569,2.3264702707703693,2.7006113600726604
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,counts,completion_projected,ours_direct,ours_prepared,3,2.1101399090730975,2.835568026865907,2.0539918821688503,2.1451243110081366
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,counts,completion_projected,ours_prepared,ours_direct,3,0.47390222596152937,0.3526630257237308,0.46617344965431556,0.48685684139319985
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,counts,completion_projected,cudd_fixed,ours_direct,3,0.5086638861886291,0.37890058531662335,0.4897692574350835,0.5149761473989979
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,counts,completion_projected,cudd_fixed,ours_prepared,3,1.057756826268131,1.0780091175069741,1.0506159409084002,1.0733519665508422
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,counts,completion_projected,cudd_sift,ours_direct,3,0.5131951446334696,0.3967872054911836,0.5048102449723898,0.5280533306046498
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,counts,completion_projected,cudd_sift,ours_prepared,3,1.0828807289362463,1.1440611462656778,1.0540986610456158,1.1142664070278419
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,counts,completion_projected,agrum_conditioned,ours_direct,3,5.061967343790013,6.026273187022749,4.995552396158323,5.159860432887964
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,counts,completion_projected,agrum_conditioned,ours_prepared,3,10.71608089191417,17.348980517565945,10.397239831948504,10.888027424684081
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,counts,completion_projected,agrum_joint,ours_direct,3,1.6730860211182423,1.84530152237622,1.6630095389975559,1.6913801391556826
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,counts,completion_projected,agrum_joint,ours_prepared,3,3.530445584473918,5.232477996776993,3.4740810754873928,3.567362191542091
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,counts,completion_projected,storm_sparse,ours_direct,3,1.5786561403574757,1.7136317690662195,1.5651952909645077,1.6199979661201087
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,counts,completion_projected,storm_sparse,ours_prepared,3,3.3864136654030945,4.960091628677055,3.2148984216500103,3.418422360927289
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,counts,completion_projected,storm_compact,ours_direct,3,0.9639605326238756,0.9518607041258279,0.9532421746933536,1.014853883965905
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,counts,completion_projected,storm_compact,ours_prepared,3,2.044822963212978,2.7464085641060536,2.0340915906609993,2.084501639253497
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,masks,original,ours_direct,ours_prepared,3,4.5739154133834,4.580652151301876,4.566392819429778,4.632831180745201
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,masks,original,ours_prepared,ours_direct,3,0.2186310654267836,0.21830952601711703,0.21585073165544263,0.21899123433819553
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,masks,original,cudd_fixed,ours_direct,3,0.2599812134658103,0.2597230691503586,0.2550842765127694,0.2809542004948435
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,masks,original,cudd_fixed,ours_prepared,3,1.1871763463569165,1.1873520746041046,1.1817623899461889,1.2850607480981746
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,masks,original,cudd_sift,ours_direct,3,0.2640583975848006,0.263803765144878,0.2561022705251673,0.2748589585392193
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,masks,original,cudd_sift,ours_prepared,3,1.2077807747464413,1.2083932843324203,1.1694635691657866,1.273375153427648
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,masks,original,agrum_conditioned,ours_direct,3,5.647976331371893,5.649650736603859,5.607086084337018,5.794340605918449
deathstarbench_social_network,v4-confirmation-771621/deathstarbench_social_network/split/N/0/compose_post,masks,original,agrum_conditioned,ours_prepared,3,25.97668324463906,26.104957518871608,25.790878563885954,26.502823807803704
