profile,placement,failure_law,repetition,method,shared_test_parse_selection_seconds,method_scoring_seconds,test_request_bytes,test_health_bytes
opentelemetry_demo,colocated,N,16,source_500ms_failover,0.19238259699997684,0.00021544099999459831,793334,161093
opentelemetry_demo,colocated,N,16,matched_stable_endpoint,0.19238259699997684,0.0001274439999860988,793334,161093
opentelemetry_demo,colocated,N,16,all_calibration_endpoint,0.19238259699997684,0.00011585699999727694,793334,161093
opentelemetry_demo,colocated,N,17,learner_state_only,0.19493162499998107,0.0002958270000021912,793334,160606
opentelemetry_demo,colocated,N,17,temporal_logit_lower,0.19493162499998107,0.0003365509999753158,793334,160606
opentelemetry_demo,colocated,N,17,temporal_logit_midpoint,0.19493162499998107,0.0003193849999831855,793334,160606
opentelemetry_demo,colocated,N,17,temporal_logit_upper,0.19493162499998107,0.00032802300000867035,793334,160606
opentelemetry_demo,colocated,N,17,source_500ms_failover,0.19493162499998107,0.0002193050000016683,793334,160606
opentelemetry_demo,colocated,N,17,matched_stable_endpoint,0.19493162499998107,0.0001322299999912957,793334,160606
opentelemetry_demo,colocated,N,17,all_calibration_endpoint,0.19493162499998107,0.00011920099998974365,793334,160606
opentelemetry_demo,colocated,N,18,learner_state_only,0.20100964799999588,0.00029956899999206144,793334,160786
opentelemetry_demo,colocated,N,18,temporal_logit_lower,0.20100964799999588,0.0003293089999942822,793334,160786
opentelemetry_demo,colocated,N,18,temporal_logit_midpoint,0.20100964799999588,0.0003012809999916044,793334,160786
opentelemetry_demo,colocated,N,18,temporal_logit_upper,0.20100964799999588,0.00031170100001531864,793334,160786
opentelemetry_demo,colocated,N,18,source_500ms_failover,0.20100964799999588,0.0002094240000189984,793334,160786
opentelemetry_demo,colocated,N,18,matched_stable_endpoint,0.20100964799999588,0.0001299079999910191,793334,160786
opentelemetry_demo,colocated,N,18,all_calibration_endpoint,0.20100964799999588,0.0001177039999902263,793334,160786
opentelemetry_demo,colocated,N,19,learner_state_only,0.23616185699998482,0.0002942909999887888,793335,160794
opentelemetry_demo,colocated,N,19,temporal_logit_lower,0.23616185699998482,0.00034880499998735104,793335,160794
opentelemetry_demo,colocated,N,19,temporal_logit_midpoint,0.23616185699998482,0.00032953000001612054,793335,160794
opentelemetry_demo,colocated,N,19,temporal_logit_upper,0.23616185699998482,0.0003099620000170944,793335,160794
opentelemetry_demo,colocated,N,19,source_500ms_failover,0.23616185699998482,0.00020515399998544126,793335,160794
opentelemetry_demo,colocated,N,19,matched_stable_endpoint,0.23616185699998482,0.0001323069999727977,793335,160794
opentelemetry_demo,colocated,N,19,all_calibration_endpoint,0.23616185699998482,0.00011639999999601969,793335,160794
opentelemetry_demo,colocated,N,20,learner_state_only,0.19762618499999007,0.00028971700001534373,793334,160401
opentelemetry_demo,colocated,N,20,temporal_logit_lower,0.19762618499999007,0.00031940299999178023,793334,160401
