profile,placement,failure_law,repetition,method,test_requests,test_success_rate,mean_conditional_probability,brier_score,uses_heldout_health
opentelemetry_demo,split,N,23,source_500ms_failover,989,0.80788675429727,0.98076370944588,0.18483581552233846,True
opentelemetry_demo,split,N,23,matched_stable_endpoint,989,0.80788675429727,0.8659244917715392,0.15857412549942473,False
opentelemetry_demo,split,N,23,all_calibration_endpoint,989,0.80788675429727,0.8205661948376353,0.15536651474070917,False
opentelemetry_demo,split,N,24,learner_state_only,967,0.8645294725956567,0.8433244524967833,0.04051025392310327,True
opentelemetry_demo,split,N,24,temporal_logit_lower,967,0.8645294725956567,0.8398497568101297,0.03573001361214382,True
opentelemetry_demo,split,N,24,temporal_logit_midpoint,967,0.8645294725956567,0.8397619889789106,0.035743000525745854,True
opentelemetry_demo,split,N,24,temporal_logit_upper,967,0.8645294725956567,0.8396935093584148,0.03575427321279331,True
opentelemetry_demo,split,N,24,source_500ms_failover,967,0.8645294725956567,0.9619671377685854,0.11861668248354831,True
opentelemetry_demo,split,N,24,matched_stable_endpoint,967,0.8645294725956567,0.8001043841336117,0.1212688556324747,False
opentelemetry_demo,split,N,24,all_calibration_endpoint,967,0.8645294725956567,0.7531223980016652,0.12952979987872354,False
opentelemetry_demo,split,N,25,learner_state_only,983,0.8372329603255341,0.8112424538634663,0.05188141717982194,True
opentelemetry_demo,split,N,25,temporal_logit_lower,983,0.8372329603255341,0.8121578655824122,0.040040293514462595,True
opentelemetry_demo,split,N,25,temporal_logit_midpoint,983,0.8372329603255341,0.8121528926788656,0.0400677471525973,True
opentelemetry_demo,split,N,25,temporal_logit_upper,983,0.8372329603255341,0.812149036478753,0.04009337328082987,True
opentelemetry_demo,split,N,25,source_500ms_failover,983,0.8372329603255341,0.9776509300076611,0.14876335440640562,True
opentelemetry_demo,split,N,25,matched_stable_endpoint,983,0.8372329603255341,0.7941478439425051,0.1381302577238159,False
opentelemetry_demo,split,N,25,all_calibration_endpoint,983,0.8372329603255341,0.7481265611990008,0.14421388083537381,False
opentelemetry_demo,split,N,26,learner_state_only,970,0.8092783505154639,0.7860929172957397,0.05719014450306484,True
opentelemetry_demo,split,N,26,temporal_logit_lower,970,0.8092783505154639,0.7841760741996798,0.03879118645285748,True
opentelemetry_demo,split,N,26,temporal_logit_midpoint,970,0.8092783505154639,0.7842640250569299,0.03878964881761883,True
opentelemetry_demo,split,N,26,temporal_logit_upper,970,0.8092783505154639,0.7843403482280813,0.038789085429736414,True
