profile,placement,failure_law,repetition,method,test_requests,test_success_rate,prediction,signed_error,absolute_error,brier_score
opentelemetry_demo,colocated,ND,3,matched_stable_endpoint,937,0.6915688367129136,0.7959710743801653,0.10440223766725176,0.10440223766725176,0.22420120803039034
opentelemetry_demo,colocated,ND,3,all_calibration_endpoint,937,0.6915688367129136,0.7439633638634471,0.0523945271505335,0.0523945271505335,0.21604656727578903
opentelemetry_demo,colocated,ND,4,learner_state_only,946,0.7568710359408034,0.6721995546597411,-0.08467148128106228,0.08467148128106228,0.19118653063702779
opentelemetry_demo,colocated,ND,4,temporal_logit_lower,946,0.7568710359408034,0.672186638188608,-0.08468439775219538,0.08468439775219538,0.1911887181173505
opentelemetry_demo,colocated,ND,4,temporal_logit_midpoint,946,0.7568710359408034,0.6721873756717757,-0.08468366026902774,0.08468366026902774,0.19118859321125858
opentelemetry_demo,colocated,ND,4,temporal_logit_upper,946,0.7568710359408034,0.6721879583280721,-0.0846830776127313,0.0846830776127313,0.19118849452866238
opentelemetry_demo,colocated,ND,4,source_500ms_failover,946,0.7568710359408034,0.8585979788283603,0.1017269428875569,0.1017269428875569,0.19436564180394678
opentelemetry_demo,colocated,ND,4,matched_stable_endpoint,946,0.7568710359408034,0.7017259978425027,-0.055145038098300736,0.055145038098300736,0.18705824612156152
opentelemetry_demo,colocated,ND,4,all_calibration_endpoint,946,0.7568710359408034,0.6615320566194838,-0.09533897932131963,0.09533897932131963,0.1931067918727295
opentelemetry_demo,colocated,ND,5,learner_state_only,939,0.751863684771033,0.7529321014469922,0.0010684166759591385,0.0010684166759591385,0.1865658258077511
opentelemetry_demo,colocated,ND,5,temporal_logit_lower,939,0.751863684771033,0.7528734663167787,0.0010097815457456027,0.0010097815457456027,0.18656570395232785
opentelemetry_demo,colocated,ND,5,temporal_logit_midpoint,939,0.751863684771033,0.7528731412541022,0.00100945648306916,0.00100945648306916,0.18656570329594885
opentelemetry_demo,colocated,ND,5,temporal_logit_upper,939,0.751863684771033,0.752990344390024,0.001126659618990944,0.001126659618990944,0.1865659536554548
opentelemetry_demo,colocated,ND,5,source_500ms_failover,939,0.751863684771033,0.9068672839506173,0.15500359917958428,0.15500359917958428,0.2105908000521829
opentelemetry_demo,colocated,ND,5,matched_stable_endpoint,939,0.751863684771033,0.7653485952133194,0.01348491044228639,0.01348491044228639,0.18674652710319423
opentelemetry_demo,colocated,ND,5,all_calibration_endpoint,939,0.751863684771033,0.728143213988343,-0.023720470782690017,0.023720470782690017,0.1871273450277101
opentelemetry_demo,colocated,ND,6,learner_state_only,971,0.7301750772399588,0.7160560228284157,-0.014119054411543042,0.014119054411543042,0.19721878151505512
opentelemetry_demo,colocated,ND,6,temporal_logit_lower,971,0.7301750772399588,0.716012022420839,-0.014163054819119836,0.014163054819119836,0.19722002593938842
opentelemetry_demo,colocated,ND,6,temporal_logit_midpoint,971,0.7301750772399588,0.7160110282321916,-0.014164049007767132,0.014164049007767132,0.19722005410187338
