profile,case_id,phase,method,paired_rounds,original_over_projected,kernel_original_over_projected
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,initial,ours_prepared,3,0.8411827421537833,1.303170648345824
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,initial,cudd_fixed,3,0.9837059810522276,1.030215529838672
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,initial,cudd_sift,3,0.942162022361003,0.9766958191388695
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,initial,agrum_conditioned,3,1.207414427472405,1.2556548786171833
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,initial,agrum_joint,3,1.1703085113666372,1.2256084212280685
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,initial,storm_sparse,3,0.8962380245306429,1.028953819651494
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,initial,storm_compact,3,0.9156458188960644,1.0196995393644765
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,repeat,ours_direct,3,0.6964157972168608,1.0709957074320344
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,repeat,ours_prepared,3,0.6484137786619202,1.0209793850211704
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,repeat,cudd_fixed,3,0.6139254637990478,0.9597214379823076
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,repeat,cudd_sift,3,0.6183576499149953,0.995442129858163
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,repeat,agrum_conditioned,3,1.000712542478494,1.1165851407277199
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,repeat,agrum_joint,3,0.8183739216685327,0.9869274844266469
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,repeat,storm_sparse,3,0.6509396703329459,1.0800191330945892
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,repeat,storm_compact,3,0.58541589309089,0.9886990716864363
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,counts,ours_direct,3,0.6588132200081218,1.0239339628989927
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,counts,ours_prepared,3,0.6478448242512399,1.0469577348679413
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,counts,cudd_fixed,3,0.6953497180985125,1.1507857945935376
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,counts,cudd_sift,3,0.6095087638460722,0.9852510032922404
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,counts,agrum_conditioned,3,0.9629161337403573,1.080658778683782
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,counts,agrum_joint,3,0.854941320450017,1.0329270488851052
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,counts,storm_sparse,3,0.6285771209851378,1.0722379229286072
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,counts,storm_compact,3,0.5870482473058182,1.0049624721634178
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,masks,ours_direct,3,0.6757997081146178,1.062515439557489
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,masks,ours_prepared,3,0.6209105615156173,1.0462088496482438
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,masks,cudd_fixed,3,0.5201461634791452,0.7528417371028855
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,masks,cudd_sift,3,0.5449120357361159,0.791075333271421
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,masks,agrum_conditioned,3,1.1369664351314996,1.2357656616734893
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,masks,agrum_joint,3,1.12134661988186,1.2230024609884442
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,masks,storm_sparse,3,0.9517131289301766,1.0504896766143017
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,masks,storm_compact,3,0.9043006839202404,0.9941866165981493
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,metadata,ours_direct,3,0.6880504304413005,1.057378688817999
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,metadata,ours_prepared,3,0.6096175209059771,1.026825176103462
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,metadata,cudd_fixed,3,0.9347291362784932,1.6131097829250627
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,metadata,cudd_sift,3,0.9145868378591782,1.577155380116573
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,metadata,agrum_conditioned,3,1.003503577793473,1.128056420359923
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,metadata,agrum_joint,3,0.794654695206784,0.9597763905067676
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,metadata,storm_sparse,3,0.7432120330452142,1.0513205869945157
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,metadata,storm_compact,3,0.7168632546981207,1.0074975138792097
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,structure,ours_direct,3,0.6507986817576111,1.0079482518073817
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,structure,ours_prepared,3,0.7793564209903168,1.0670601978153162
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,structure,cudd_fixed,3,0.6563573883161512,0.9758105456690861
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,structure,cudd_sift,3,0.8029487770774311,1.0979674485367827
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,structure,agrum_conditioned,3,1.2408073098720755,1.3052333502599944
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,structure,agrum_joint,3,1.2275342375936704,1.2849044922218673
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,structure,storm_sparse,3,0.8876309259133567,1.0845434602031905
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,structure,storm_compact,3,0.8912154153975557,1.0626781055494632
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,restore,ours_direct,3,0.642087997735495,1.0355728989933266
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,restore,ours_prepared,3,0.7865343185155977,1.098296309337089
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,restore,cudd_fixed,3,0.6906697905181919,1.0857531942163656
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,restore,cudd_sift,3,0.8170245492456424,1.1180952165537623
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_home_timeline,restore,agrum_conditioned,3,1.222597114676635,1.2952822193130482
