profile,case_id,method,representation,round,returncode,timed_out,wall_seconds,cpu_seconds,peak_rss_mib
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,agrum_conditioned,original,0,0,False,0.44,0.43,47.9453125
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,agrum_conditioned,completion_projected,0,0,False,0.4,0.4,47.8515625
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,agrum_joint,original,0,0,False,0.26,0.25,48.03125
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,agrum_joint,completion_projected,0,0,False,0.25,0.25,47.94921875
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,storm_sparse,original,0,0,False,0.28,0.27,94.6875
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,storm_sparse,completion_projected,0,0,False,0.28,0.27999999999999997,95.01171875
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,storm_compact,original,0,0,False,0.29,0.27999999999999997,95.07421875
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,storm_compact,completion_projected,0,0,False,0.28,0.28,94.55078125
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,ours_direct,original,0,0,False,0.14,0.13,36.140625
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,ours_direct,completion_projected,0,0,False,0.13,0.13,36.08984375
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,ours_prepared,original,0,0,False,0.14,0.13999999999999999,36.08984375
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,ours_prepared,completion_projected,0,0,False,0.14,0.13,36.16015625
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--read_user_timeline,cudd_fixed,original,0,0,False,0.29,0.27999999999999997,61.3515625
deathstarbench_social_network,deathstarbench_social_network--colocated--NCD--r0--read_home_timeline,cudd_sift,original,0,0,False,0.26,0.26,61.38671875
deathstarbench_social_network,deathstarbench_social_network--colocated--NCD--r0--read_home_timeline,cudd_sift,completion_projected,0,0,False,0.27,0.27,61.2109375
deathstarbench_social_network,deathstarbench_social_network--colocated--NCD--r0--read_home_timeline,agrum_conditioned,original,0,0,False,0.16,0.15000000000000002,47.57421875
deathstarbench_social_network,deathstarbench_social_network--colocated--NCD--r0--read_home_timeline,agrum_conditioned,completion_projected,0,0,False,0.16,0.15,47.515625
deathstarbench_social_network,deathstarbench_social_network--colocated--NCD--r0--read_home_timeline,agrum_joint,original,0,0,False,0.15,0.15,47.59765625
deathstarbench_social_network,deathstarbench_social_network--colocated--NCD--r0--read_home_timeline,agrum_joint,completion_projected,0,0,False,0.15,0.15,47.5625
deathstarbench_social_network,deathstarbench_social_network--colocated--NCD--r0--read_home_timeline,storm_sparse,original,0,0,False,0.26,0.26,93.5859375
deathstarbench_social_network,deathstarbench_social_network--colocated--NCD--r0--read_home_timeline,storm_sparse,completion_projected,0,0,False,0.28,0.27,93.2265625
deathstarbench_social_network,deathstarbench_social_network--colocated--NCD--r0--read_home_timeline,storm_compact,original,0,0,False,0.24,0.24000000000000002,93.4609375
deathstarbench_social_network,deathstarbench_social_network--colocated--NCD--r0--read_home_timeline,storm_compact,completion_projected,0,0,False,0.26,0.26,93.19140625
deathstarbench_social_network,deathstarbench_social_network--colocated--NCD--r0--read_home_timeline,ours_direct,original,0,0,False,0.13,0.12000000000000001,36.09765625
deathstarbench_social_network,deathstarbench_social_network--colocated--NCD--r0--read_home_timeline,ours_direct,completion_projected,0,0,False,0.12,0.12000000000000001,36.01953125
deathstarbench_social_network,deathstarbench_social_network--colocated--NCD--r0--read_home_timeline,ours_prepared,original,0,0,False,0.12,0.12000000000000001,35.9921875
deathstarbench_social_network,deathstarbench_social_network--colocated--NCD--r0--read_home_timeline,ours_prepared,completion_projected,0,0,False,0.12,0.11,36.1015625
deathstarbench_social_network,deathstarbench_social_network--colocated--NCD--r0--read_home_timeline,cudd_fixed,original,0,0,False,0.25,0.24000000000000002,61.19921875
deathstarbench_social_network,deathstarbench_social_network--colocated--NCD--r0--read_home_timeline,cudd_fixed,completion_projected,0,0,False,0.27,0.26,61.2734375
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--compose_post,cudd_sift,completion_projected,0,0,False,0.27,0.27,61.37109375
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--compose_post,agrum_conditioned,original,0,0,False,0.27,0.27,48.203125
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--compose_post,agrum_conditioned,completion_projected,0,0,False,0.24,0.22999999999999998,48.03515625
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--compose_post,agrum_joint,original,0,0,False,0.21,0.19999999999999998,48.30078125
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--compose_post,agrum_joint,completion_projected,0,0,False,0.19,0.19,47.92578125
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--compose_post,storm_sparse,original,0,0,False,0.26,0.25,94.66796875
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--compose_post,storm_sparse,completion_projected,0,0,False,0.25,0.25,94.46875
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--compose_post,storm_compact,original,0,0,False,0.25,0.25,94.74609375
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--compose_post,storm_compact,completion_projected,0,0,False,0.24,0.24,94.82421875
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--compose_post,ours_direct,original,0,0,False,0.12,0.11,36.0390625
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--compose_post,ours_direct,completion_projected,0,0,False,0.13,0.12,36.21484375
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--compose_post,ours_prepared,original,0,0,False,0.13,0.12,36.22265625
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--compose_post,ours_prepared,completion_projected,0,0,False,0.13,0.13,36.12890625
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--compose_post,cudd_fixed,original,0,0,False,0.25,0.24,61.25390625
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--compose_post,cudd_fixed,completion_projected,0,0,False,0.25,0.25,61.25390625
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--compose_post,cudd_sift,original,0,0,False,0.27,0.26,61.3671875
deathstarbench_social_network,deathstarbench_social_network--colocated--ND--r0--read_home_timeline,agrum_conditioned,original,0,0,False,0.16,0.15,47.5390625
