profile,case_id,method,representation,round,phase,status,total_ms,kernel_ms,cpu_ms,conversion_ms,key_check_ms,construction_ms,update_ms,query_including_update_ms,inference_ms,reconstructed,error
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_fixed,completion_projected,0,masks,qualified,0.796052,0.521928,0.79814,0.274124,0.084318,0.0,0.0,0.436398,0.436398,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_fixed,completion_projected,0,metadata,qualified,0.76814,0.48546,0.770379,0.28268,0.059401,0.0,0.0,0.424946,0.424946,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_fixed,completion_projected,0,structure,qualified,0.850165,0.564179,0.852342,0.285986,0.058149,0.077205,0.0,0.427421,0.427421,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_fixed,completion_projected,0,restore,qualified,0.87458,0.569648,0.876537,0.304932,0.055444,0.068137,0.0,0.444644,0.444644,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_sift,original,0,initial,qualified,4.424396,4.423203,4.431595,0.001193,0.100879,3.724364,0.0,0.595096,0.595096,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_sift,original,0,repeat,qualified,0.588955,0.584376,0.590923,0.004579,0.072406,0.0,0.0,0.510698,0.510698,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_sift,original,0,counts,qualified,0.572564,0.566182,0.574543,0.006382,0.067195,0.0,0.0,0.497784,0.497784,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_sift,original,0,masks,qualified,0.579266,0.578424,0.581165,0.000842,0.060925,0.0,0.0,0.516318,0.516318,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_sift,original,0,metadata,qualified,0.580859,0.580098,0.582718,0.000761,0.071113,0.0,0.0,0.507802,0.507802,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_sift,original,0,structure,qualified,0.992501,0.991809,0.994447,0.000692,0.083046,0.385954,0.0,0.521418,0.521418,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_sift,original,0,restore,qualified,0.962535,0.961693,0.964632,0.000842,0.061716,0.379191,0.0,0.519414,0.519414,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_sift,completion_projected,0,initial,qualified,4.473438,4.09642,4.479956,0.377018,0.086612,3.464997,0.0,0.542627,0.542627,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_sift,completion_projected,0,repeat,qualified,0.829656,0.552767,0.832064,0.276889,0.068278,0.0,0.0,0.482856,0.482856,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_sift,completion_projected,0,counts,qualified,0.798738,0.532809,0.800885,0.265929,0.056987,0.0,0.0,0.47455,0.47455,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_sift,completion_projected,0,masks,qualified,0.787827,0.49069,0.790046,0.297137,0.058219,0.0,0.0,0.431189,0.431189,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_sift,completion_projected,0,metadata,qualified,0.764864,0.489567,0.767192,0.275297,0.061335,0.0,0.0,0.426981,0.426981,False,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_sift,completion_projected,0,structure,qualified,1.013901,0.750658,1.015958,0.263243,0.05852,0.240962,0.0,0.449773,0.449773,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,cudd_sift,completion_projected,0,restore,qualified,1.051722,0.752851,1.053848,0.298871,0.055434,0.224221,0.0,0.471774,0.471774,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,agrum_conditioned,original,0,initial,qualified,19.121184,19.120202,19.126345,0.000982,0.163857,8.365937,0.002755,10.587723,10.584968,True,
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--compose_post,agrum_conditioned,original,0,repeat,qualified,9.286714,9.281835,9.289307,0.004879,0.072415,0.0,0.002685,9.207586,9.204901,False,
